,projectid,projectname,countryname,projectmodality,status,approvalno,approvaldate,sector1,sector1a,safe_env,safe_ind,safe_res,countrycode,region,closingdate_initial,closingdate_final,totalcost_initial,totalcost_final,matchingresult,duration_initial,duration_final,delay,cost_overrun,cost_overrun_mark,delay_mark,closing_year,approval_year,year_for_plr,totalcost_initial_adj1_plr,totalcost_initial_adj2_2019,year_for_closing,totalcost_final_adj1_plr,totalcost_final_adj2_2019,totalcost_initial_adj,totalcost_final_adj,project_size,env_risk,soc_risk,risk_category
74,34374-013,Rural Electrification Network Expansion,Bhutan,Loan,Closed,2009,2003-09-30,Energy,Electricity transmission and distribution,B,C,C,BHU,South Asia,2007-03-31,2006-12-19,13.0,13.3,matched,3.5,3.2,-0.3,0.3000000000000007,True,False,2006,2003,2003,50.13,115.19,2006,45.99,89.24,115.19,89.24,medium,1,0,Environmental Only
75,34390-013,Greater Mekong Subregion Transmission Project,Cambodia,Loan,Closed,2052,2003-12-15,Energy,Electricity transmission and distribution,B,C,A,CAM,Southeast Asia,2008-12-31,2011-05-09,95.0,76.0,matched,5.0,7.4,2.4,-19.0,False,True,2011,2003,2003,392.56,826.07,2011,224.94,279.8,826.07,279.8,large,1,1,Both
76,34415-013,Road Network Improvement and Maintenance II,Bangladesh,Loan,Closed,2021,2003-11-20,Transportation,Road transport (non-urban),B,C,B,BAN,South Asia,2008-12-30,2013-01-30,187.1,127.14,matched,5.1,9.2,4.1,-59.959999999999994,False,True,2013,2003,2003,639.08,1672.01,2013,408.82,562.39,1672.01,562.39,mega,1,1,Both
77,34420-013,National Highways Sector I,India,Loan,Closed,2029,2003-12-04,Transportation,Road transport (non-urban),B,C,A,IND,South Asia,2011-12-31,2012-05-09,760.2,1137.3,matched,8.1,8.4,0.4,377.0999999999999,True,True,2012,2003,2003,3438.84,8649.29,2012,3834.95,4914.39,8649.29,4914.39,mega,1,1,Both
78,34420-023,National Highway Corridor (Sector) I Project  (Supplementary Loan),India,Loan,Closed,2527,2009-06-30,Transportation,Road transport (non-urban),C,C,C,IND,South Asia,2011-12-31,2012-05-09,760.2,1137.3,matched,2.5,2.9,0.4,377.0999999999999,True,True,2012,2009,2009,2698.37,4485.38,2012,3834.95,4914.39,4485.38,4914.39,mega,0,0,No Risk
79,34472-013,Wuhan Wastewater Management,China,Loan,Closed,1996,2003-04-25,Water,Urban sewerage,A,C,A,PRC,East Asia,2008-12-13,2010-09-27,193.6,212.72,matched,5.6,7.4,1.8,19.120000000000005,True,True,2010,2003,2003,593.57,1081.57,2010,432.45,548.8,1081.57,548.8,mega,1,1,Both
80,34561-013,Chongqing-Guizhou Roads Development: Guizhou Component (Chongzun Expressway),China,Loan,Closed,1784,2000-11-21,Transportation,Road transport (non-urban),A,C,C,PRC,East Asia,2005-09-30,2007-10-22,834.0,809.0,matched,4.9,6.9,2.1,-25.0,False,True,2007,2000,2000,2550.13,4906.32,2007,2051.62,3000.27,4906.32,3000.27,mega,1,0,Environmental Only
81,34569-013,Dushanbe-Kyrgyz Border Road Rehabilitation Project (Phase I),Tajikistan,Loan,Closed,2062 | 8212,2003-12-18,Transportation,Road transport (non-urban),B,C,C,TAJ,Central and West Asia,2008-12-31,2009-04-21,23.6,23.3,matched,5.0,5.3,0.3,-0.3000000000000007,False,True,2009,2003,2003,141.01,778.87,2009,76.1,147.65,778.87,147.65,large,1,0,Environmental Only
82,35049-023,Padma Multipurpose Bridge Design Project ( formerly Padma Multipurpose Bridge Engineering TA Loan),Bangladesh,Loan,Closed,2375,2007-12-05,Transportation,Road transport (non-urban),C,C,C,BAN,South Asia,2011-08-31,2012-11-06,22.0,26.9,matched,3.7,4.9,1.2,4.899999999999999,True,True,2012,2007,2007,81.53,173.03,2012,89.71,132.26,173.03,132.26,medium,0,0,No Risk
83,35049-033,Padma Multipurpose Bridge Design Project (Supplementary Loan),Bangladesh,Loan,Closed,2593,2009-12-02,Transportation,Road transport (non-urban),B,C,C,BAN,South Asia,2011-08-31,2012-11-06,22.0,26.9,matched,1.7,2.9,1.2,4.899999999999999,True,True,2012,2009,2009,72.34,133.32,2012,89.71,132.26,133.32,132.26,medium,1,0,Environmental Only
84,35139-013,Power Transmission Improvement Sector,Indonesia,Loan,Closed,1983,2002-12-19,Energy,Electricity transmission and distribution,B,C,C,INO,Southeast Asia,2008-09-30,2014-06-30,175.0,173.75,matched,5.8,11.5,5.7,-1.25,False,True,2014,2002,2002,1008.32,3572.71,2014,508.2,595.48,3572.71,595.48,mega,1,0,Environmental Only
85,35201-013,Local Government Infrastructure Improvement Project,Sri Lanka,Loan,Closed,2201,2005-11-24,Transportation,Urban roads and traffic management ,C,B,B,SRI,South Asia,2012-04-30,2015-10-12,66.7,56.8,matched,6.4,9.9,3.4,-9.900000000000006,False,True,2015,2005,2005,265.22,686.59,2015,171.16,206.21,686.59,206.21,large,0,1,Social Only
86,35290-013,MFF - North Eastern Region Capital Cities Development Investment Program,India,Loan,Closed,30,2009-06-23,Water,,B,A,A,IND,South Asia,2016-04-30,2019-10-23,42.818,34.077,matched,6.9,10.3,3.5,-8.741,False,True,2019,2009,2009,151.98,252.63,2019,119.37,119.37,252.63,119.37,medium,1,1,Both
87,35335-013,National Highway Sector II,India,Loan,Closed,2154,2004-12-21,Transportation,Road transport (non-urban),B,A,A,IND,South Asia,2008-12-31,2012-05-09,670.6,744.4,matched,4.0,7.4,3.4,73.79999999999995,True,True,2012,2004,2004,2880.95,6853.69,2012,2510.1,3216.63,6853.69,3216.63,mega,1,1,Both
88,35337-013,Guangxi Roads Development II Project,China,Loan,Closed,2094,2004-10-21,Transportation,Road transport (non-urban),A,A,A,PRC,East Asia,2008-12-31,2010-03-05,726.0,809.4,matched,4.2,5.4,1.2,83.39999999999998,True,True,2010,2004,2004,2136.34,3638.38,2010,1645.49,2088.21,3638.38,2088.21,mega,1,1,Both
89,35338-013,Hunan Roads Development II,China,Loan,Closed,2089,2004-09-09,Transportation,Road transport (non-urban),A,A,A,PRC,East Asia,2010-06-30,2011-05-06,778.1,989.72,matched,5.8,6.7,0.8,211.62,True,True,2011,2004,2004,2289.65,3899.48,2011,1814.47,2131.77,3899.48,2131.77,mega,1,1,Both
90,35339-013,Yichang-Wanzhou Railway Project,China,Loan,Closed,2051,2003-12-15,Transportation,Rail transport (non-urban),A,B,A,PRC,East Asia,2010-06-30,2011-12-23,2363.0,4125.09,matched,6.5,8.0,1.5,1762.09,True,True,2011,2003,2003,7244.85,13201.12,2011,7562.59,8885.09,13201.12,8885.09,mega,1,1,Both
91,35354-013,Lanzhou-Chongqing Railway Development Project (formerly Lanyu Railway),China,Loan | Technical Assistance,Closed,2471,2008-11-18,Transportation,Rail transport (non-urban) ,A,B,A,PRC,East Asia,2016-06-30,2019-06-21,8608.9,16082.0,matched,7.6,10.6,3.0,7473.1,True,True,2019,2008,2008,18844.95,25551.24,2019,27367.32,27367.32,25551.24,27367.32,mega,1,1,Both
92,35377-023,Regional Road Development Project - Supplementary,Mongolia,Grant | Loan,Closed,0199 | 2621,2010-03-30,Transportation,Road transport (non-urban),B,C,C,MON,East Asia,2014-12-31,2015-07-31,78.14,153.01,matched,4.8,5.3,0.6,74.86999999999999,True,True,2015,2010,2010,224.18,438.71,2015,416.84,564.76,438.71,564.76,medium,1,0,Environmental Only
93,35457-013,East-West Highway Improvement Project,Azerbaijan,Loan,Closed,2205 | 2206,2005-12-08,Transportation,Road transport (non-urban),B,C,A,AZE,Central and West Asia,2010-05-31,2010-06-15,93.2,137.6,matched,4.5,4.5,0.0,44.39999999999999,True,False,2010,2005,2005,404.77,1108.41,2010,351.57,607.05,1108.41,607.05,mega,1,1,Both
94,35466-013,Dhaka Clean Fuel Project,Bangladesh,Loan,Closed,1942 | 1943,2002-11-26,Energy,Conventional energy generation,B,C,A,BAN,South Asia,2007-06-30,2010-06-21,113.41,69.58,matched,4.6,7.6,3.0,-43.83,False,True,2010,2002,2002,398.7,1103.77,2010,217.32,373.8,1103.77,373.8,mega,1,1,Both
95,36005-013,Chhattisgarh State Road Development Project,India,Loan,Closed,2050,2003-12-15,Transportation,Road transport (non-urban),B,C,A,IND,South Asia,2009-07-31,2012-04-09,285.7,281.57,matched,5.6,8.3,2.7,-4.1299999999999955,False,True,2012,2003,2003,1292.39,3250.59,2012,949.45,1216.69,3250.59,1216.69,mega,1,1,Both
96,36018-013,Electricity Market and Transmission Development,Philippines,Loan,Closed,1984,2002-12-19,Energy,Electricity transmission and distribution,B,C,A,PHI,Southeast Asia,2009-06-30,2009-08-03,106.0,90.3,matched,6.5,6.6,0.1,-15.700000000000005,False,True,2009,2002,2002,373.95,646.2,2009,249.78,312.35,646.2,312.35,large,1,1,Both
97,36052-013,NWFP Road Development Sector and Subregional Connectivity,Pakistan,Loan,Closed,2103 | 2104,2004-11-18,Transportation,Road transport (non-urban),A,C,A,PAK,Central and West Asia,2010-12-31,2011-09-30,423.6,300.5,matched,6.1,6.9,0.7,-123.10000000000002,False,True,2011,2004,2004,1672.86,5206.25,2011,1030.12,1618.42,5206.25,1618.42,mega,1,1,Both
98,36105-013,Chittagong Port Trade Facilitation Project,Bangladesh,Loan,Closed,2147,2004-12-20,Transportation,Road transport (non-urban) ,B,C,B,BAN,South Asia,2009-01-01,2013-08-23,41.3,27.84,matched,4.0,8.7,4.6,-13.459999999999996,False,True,2013,2004,2004,140.86,352.45,2013,89.52,123.15,352.45,123.15,medium,1,1,Both
99,36107-013,Sustainable Power Sector Development Program (Project),Bangladesh,Loan,Closed,2332 | 2333,2007-06-26,Energy,Conventional energy generation ,B,C,A,BAN,South Asia,2010-06-30,2014-10-22,739.9,892.5,matched,3.0,7.3,4.3,152.60000000000002,True,True,2014,2007,2007,2741.91,5819.12,2014,2704.25,3520.52,5819.12,3520.52,mega,1,1,Both
100,36107-023,Sustainable Power Sector Development Program (Program Loan),Bangladesh,Loan,Closed,2334,2007-06-26,Energy,Conventional energy generation,B,B,A,BAN,South Asia,2010-06-30,2014-10-22,739.9,892.5,matched,3.0,7.3,4.3,152.60000000000002,True,True,2014,2007,2007,2741.91,5819.12,2014,2704.25,3520.52,5819.12,3520.52,mega,1,1,Both
101,36205-013,Power Sector Development Program (Project Loan),Bangladesh,Loan,Closed,2039,2003-12-10,Energy,Electricity transmission and distribution,B,C,C,BAN,South Asia,2008-06-30,2012-04-09,328.5,258.38,matched,4.6,8.3,3.8,-70.12,False,True,2012,2003,2003,1122.05,2935.59,2012,861.65,1270.37,2935.59,1270.37,mega,1,0,Environmental Only
102,36205-023,Power Sector Development Program,Bangladesh,Loan,Closed,2038,2003-12-10,Energy,Electricity transmission and distribution,B,C,C,BAN,South Asia,2008-06-30,2012-04-09,328.5,258.38,matched,4.6,8.3,3.8,-70.12,False,True,2012,2003,2003,1122.05,2935.59,2012,861.65,1270.37,2935.59,1270.37,mega,1,0,Environmental Only
103,36257-013,Southern Transport Corridor Road Rehabilitation Project,Kyrgyz Republic,Loan | Technical Assistance,Closed,2106 | 4444,2004-11-23,Transportation,Road transport (non-urban),B,C,C,KGZ,Central and West Asia,2009-03-31,2010-11-04,43.4,43.338,matched,4.4,5.9,1.6,-0.0619999999999976,False,True,2010,2004,2004,234.76,872.03,2010,151.99,299.75,872.03,299.75,large,1,0,Environmental Only
104,36317-013,Railway Sector Improvement Project,India,Loan | Technical Assistance,Closed,1981 | 4053,2002-12-19,Transportation,Rail transport (non-urban),B,C,A,IND,South Asia,2008-06-30,2012-06-19,579.2,446.663,matched,5.5,9.5,4.0,-132.53700000000003,False,True,2012,2002,2002,2811.21,7344.17,2012,1506.14,1930.08,7344.17,1930.08,mega,1,1,Both
105,36318-013,Assam Power Sector Development Program (Project Loan),India,Loan,Closed,2036 | 2037,2003-12-10,Energy,Electricity transmission and distribution ,B,C,C,IND,South Asia,2007-06-30,2009-06-11,393.5,469.6,matched,3.6,5.5,1.9,76.10000000000002,True,True,2009,2003,2003,1780.03,4477.09,2009,1666.87,2770.76,4477.09,2770.76,mega,1,0,Environmental Only
106,36320-013,Rural Roads Sector I,India,Loan,Closed,2018,2003-11-20,Transportation,Road transport (non-urban),B,C,A,IND,South Asia,2008-06-30,2009-10-09,571.0,510.7,matched,4.6,5.9,1.3,-60.30000000000001,False,True,2009,2003,2003,2582.97,6496.62,2009,1812.76,3013.27,6496.62,3013.27,mega,1,1,Both
107,36339-022,Small Towns Water Supply and Sanitation Sector Project,Lao People's Democratic Republic,Grant,Closed,143,2009-02-02,Water,Urban flood protection ,B,B,B,LAO,Southeast Asia,2014-12-31,2019-03-06,31.44,26.74,matched,5.9,10.1,4.2,-4.700000000000003,False,True,2019,2009,2009,117.18,189.52,2019,79.96,79.96,189.52,79.96,medium,1,1,Both
108,36352-013,Song Bung 4 Hydropower Project,Viet Nam,Loan,Closed,2429,2008-06-26,Energy,Large hydropower generation,A,A,A,VIE,Southeast Asia,2014-06-30,2016-07-21,267.28,262.63,matched,6.0,8.1,2.1,-4.649999999999977,False,True,2016,2008,2008,876.15,1651.84,2016,804.15,890.74,1651.84,890.74,mega,1,1,Both
109,36432-013,Dali-Lijiang Railway Project,China,Loan,Closed,2116,2004-12-02,Transportation,Rail transport (non-urban),A,C,A,PRC,East Asia,2010-06-30,2012-07-09,548.0,800.65,matched,5.6,7.6,2.0,252.65,True,True,2012,2004,2004,1612.55,2746.32,2012,1427.56,1637.81,2746.32,1637.81,mega,1,1,Both
110,36433-013,Taiyuan-Zhongwei Railway Project,China,Loan,Closed,2274,2006-11-23,Transportation,Rail transport (non-urban),A,B,A,PRC,East Asia,2012-12-31,2012-12-20,3752.9,7052.6,matched,6.1,6.1,-0.0,3299.7000000000003,True,False,2012,2006,2006,10480.57,16539.6,2012,12574.82,14426.84,16539.6,14426.84,mega,1,1,Both
111,36455-013,Central Yunnan Roads Development Project,China,Loan,Closed,2448,2008-09-25,Transportation,Road transport (non-urban),A,A,A,PRC,East Asia,2013-06-30,2014-07-08,745.0,1110.3,matched,4.8,5.8,1.0,365.2999999999999,True,True,2014,2008,2008,1630.81,2211.16,2014,1846.67,2048.7,2211.16,2048.7,mega,1,1,Both
112,36505-013,Shandong Hai River Basin Pollution Control,China,Loan,Closed,2237,2006-06-21,Water,Urban hazardous waste management ,A,C,A,PRC,East Asia,2012-06-30,2013-07-03,160.21,158.26,matched,6.0,7.0,1.0,-1.950000000000017,False,True,2013,2006,2006,447.41,706.07,2013,270.78,303.68,706.07,303.68,large,1,1,Both
113,36507-013,JILIN WATER SUPPLY AND SEWERAGE DEVELOPMENT PROJECT,China,Loan,Closed,2175,2005-07-18,Water,Urban sewerage ,A,C,A,PRC,East Asia,2010-06-30,2012-07-13,232.2,234.5,matched,5.0,7.0,2.0,2.3000000000000114,True,True,2012,2005,2005,672.47,1103.89,2012,418.11,479.69,1103.89,479.69,mega,1,1,Both
114,36595-013,Anhui Hefei Urban Environment Improvement Project,China,Loan,Closed,2328,2007-04-24,Transportation,Urban public transport ,A,C,A,PRC,East Asia,2013-03-31,2014-07-25,372.36,225.38,matched,5.9,7.3,1.3,-146.98000000000002,False,True,2014,2007,2007,944.3,1380.94,2014,374.86,415.87,1380.94,415.87,mega,1,1,Both
115,36673-013,Emergency Infrastructure Rehabilitation and Reconstruction Project,Afghanistan,Loan,Closed,1997,2003-06-03,Energy,Conventional energy generation ,B,C,C,AFG,Central and West Asia,2013-06-30,2013-07-01,170.0,158.15,matched,10.1,10.1,0.0,-11.849999999999994,False,False,2013,2003,2003,826.58,2044.31,2013,529.55,594.11,2044.31,594.11,mega,1,0,Environmental Only
116,37027-013,Subregional Transport Facilitation (NEP),Nepal,Loan,Closed,2097,2004-11-04,Transportation,Road transport (non-urban),A,C,A,NEP,South Asia,2010-07-01,2016-07-18,26.7,19.5,matched,5.7,11.7,6.0,-7.199999999999999,False,True,2016,2004,2004,147.3,530.66,2016,66.15,78.24,530.66,78.24,large,1,1,Both
117,37041-013,Second Power Transmission and Distribution Project,Cambodia,Loan,Closed,2261,2006-10-04,Energy,Electricity transmission and distribution,B,B,B,CAM,Southeast Asia,2010-12-31,2015-03-10,52.36,66.2,matched,4.2,8.4,4.2,13.840000000000003,True,True,2015,2006,2006,196.42,333.29,2015,189.69,209.9,333.29,209.9,medium,1,1,Both
118,37066-013,MFF - Rural Roads Sector II Investment Program (Facility Concept),India,Loan,Closed,1,2005-12-20,Transportation,,B,B,B,IND,South Asia,2014-06-30,2015-01-01,1048.78,987.85,matched,8.5,9.0,0.5,-60.92999999999995,False,True,2015,2005,2005,4335.13,9764.21,2015,3383.29,3863.28,9764.21,3863.28,mega,1,1,Both
119,37066-023,MFF - Rural Roads Sector II Investment Program (Subproject 1),India,Loan,Closed,2248,2006-07-31,Transportation,Road transport (non-urban),B,B,C,IND,South Asia,2008-12-31,2009-10-09,250.2,233.4,matched,2.4,3.2,0.8,-16.799999999999983,False,True,2009,2006,2006,1005.15,2088.49,2009,828.47,1377.13,2088.49,1377.13,mega,1,1,Both
120,37066-033,MFF - Rural Roads Sector II Investment Program - Project 2,India,Loan,Closed,2414,2008-03-17,Transportation,Road transport (non-urban),B,B,C,IND,South Asia,2009-12-31,2011-04-07,100.46,65.48,matched,1.8,3.1,1.3,-34.97999999999999,False,True,2011,2008,2008,367.76,654.35,2011,201.8,279.12,654.35,279.12,large,1,1,Both
121,37066-043,MFF - Rural Roads Sector II Investment Program (Project 3),India,Loan,Closed,2445,2008-09-26,Transportation,Road transport (non-urban),B,C,C,IND,South Asia,2010-12-31,2013-11-19,168.8,178.32,matched,2.3,5.1,2.9,9.519999999999982,True,True,2013,2008,2008,617.93,1099.47,2013,624.04,753.1,1099.47,753.1,mega,1,0,Environmental Only
122,37066-053,MFF - Rural Roads Sector II Investment Program - Project 4,India,Loan,Closed,2535,2009-08-07,Transportation,Road transport (non-urban),B,C,C,IND,South Asia,2012-06-30,2013-04-23,239.8,248.35,matched,2.9,3.7,0.8,8.549999999999983,True,True,2013,2009,2009,851.18,1414.88,2013,869.12,1048.87,1414.88,1048.87,mega,1,0,Environmental Only
123,37066-063,MFF - Rural Roads Sector II Investment Program - Tranche 5,India,Loan,Closed,2651,2010-07-06,Transportation,Road transport (non-urban),B,C,C,IND,South Asia,2013-06-30,2015-01-01,289.52,262.3,matched,3.0,4.5,1.5,-27.21999999999997,False,True,2015,2010,2010,903.77,1359.22,2015,898.35,1025.8,1359.22,1025.8,mega,1,0,Environmental Only
124,37075-013,Andkhoy-Qaisar Road Project,Afghanistan,Loan,Closed,2140,2004-12-15,Transportation,Road transport (non-urban),B,C,B,AFG,Central and West Asia,2014-06-30,2014-06-30,80.0,113.1,matched,9.5,9.5,0.0,33.099999999999994,True,False,2014,2004,2004,350.51,779.08,2014,402.51,449.04,779.08,449.04,large,1,1,Both
125,37075-022,Qaisar-Bala Murghab Road Project,Afghanistan,Grant,Closed,12,2005-07-12,Transportation,Road transport (non-urban),B,C,B,AFG,Central and West Asia,2014-06-30,2014-06-30,80.0,113.1,matched,9.0,9.0,0.0,33.099999999999994,True,False,2014,2005,2005,338.68,678.71,2014,402.51,449.04,678.71,449.04,large,1,1,Both
126,37078-013,Power Transmission and Distribution Project,Afghanistan,Grant | Loan | Technical Assistance,Closed,0004 | 2165 | 4579,2005-04-14,Energy,Electricity transmission and distribution,B,B,B,AFG,Central and West Asia,2015-12-31,2016-05-25,50.0,68.27,matched,10.7,11.1,0.4,18.269999999999996,True,True,2016,2005,2005,211.67,424.19,2016,289.41,322.23,424.19,322.23,medium,1,1,Both
127,37136-013,Regional Airports Rehabilitation Project Phase I,Afghanistan,Loan,Closed,2105,2004-11-23,Transportation,Air transport ,B,C,B,AFG,Central and West Asia,2014-12-31,2014-12-18,32.1,35.3,matched,10.1,10.1,-0.0,3.1999999999999957,True,False,2014,2004,2004,140.64,312.6,2014,125.63,140.15,312.6,140.15,medium,1,1,Both
128,37139-013,MFF - Uttaranchal Power Sector Investment Program (Facility Concept),India,Loan,Closed,3,2006-03-30,Energy,,A,A,C,IND,South Asia,2012-06-30,2017-02-08,61.39,35.39,matched,6.3,10.9,4.6,-26.0,False,True,2017,2006,2006,246.63,512.45,2017,111.51,118.63,512.45,118.63,large,1,1,Both
129,37139-023,Uttaranchal Power Sector Investment Program - Tranche 1,India,Loan,Closed,2309,2007-01-02,Energy,Large hydropower generation ,A,B,A,IND,South Asia,2012-06-30,2017-02-08,61.39,35.39,matched,5.5,10.1,4.6,-26.0,False,True,2017,2007,2007,210.75,409.46,2017,111.51,118.63,409.46,118.63,medium,1,1,Both
130,37139-033,MFF - Uttarakhand Power Sector Investment Program - Project 2,India,Loan,Closed,2498,2008-12-23,Energy,Electricity transmission and distribution,B,B,B,IND,South Asia,2012-06-30,2017-02-08,89.14,13.1,matched,3.5,8.1,4.6,-76.04,False,True,2017,2008,2008,326.32,580.62,2017,41.28,43.91,580.62,43.91,large,1,1,Both
131,37139-043,MFF - Uttarakhand Power Sector Investment Program - Project 3,India,Loan,Closed,2502,2009-01-08,Energy,Electricity transmission and distribution,B,C,C,IND,South Asia,2012-06-30,2017-02-08,42.43,34.24,matched,3.5,8.1,4.6,-8.189999999999998,False,True,2017,2009,2009,150.61,250.35,2017,107.89,114.78,250.35,114.78,medium,1,0,Environmental Only
132,37139-053,Uttarakhand Power Sector Investment Program - Tranche 4,India,Loan,Closed,2924,2012-10-26,Energy,Electricity transmission and distribution,B,C,B,IND,South Asia,2016-03-30,2017-02-08,150.0,7.28,matched,3.4,4.3,0.9,-142.72,False,True,2017,2012,2012,505.8,648.17,2017,22.94,24.4,648.17,24.4,large,1,1,Both
133,37192-023,Power Transmission Enhancement Investment Program Tranche 1,Pakistan,Loan,Closed,2289 | 2290,2006-12-13,Energy,Electricity transmission and distribution,B,B,A,PAK,Central and West Asia,2017-06-15,2017-08-23,294.5,163.45,matched,10.5,10.7,0.2,-131.05,False,True,2017,2006,2006,1149.01,3196.02,2017,515.29,583.44,3196.02,583.44,mega,1,1,Both
134,37192-033,Power Transmission Enhancement Investment Program Tranche 2,Pakistan,Loan,Closed,2396,2007-12-17,Energy,Electricity transmission and distribution,B,C,A,PAK,Central and West Asia,2013-12-31,2016-08-22,276.0,177.89,matched,6.0,8.7,2.6,-98.11,False,True,2016,2007,2007,1015.46,2560.06,2016,578.2,681.05,2560.06,681.05,mega,1,1,Both
135,37192-043,Power Transmission Enhancement Investment Program Tranche 3,Pakistan,Loan,Closed,2846,2011-12-22,Energy,Electricity transmission and distribution,B,C,B,PAK,Central and West Asia,2016-06-30,2017-10-30,287.44,273.91,matched,4.5,5.9,1.3,-13.529999999999973,False,True,2017,2011,2011,985.35,1548.08,2017,863.53,977.73,1548.08,977.73,mega,1,1,Both
136,37266-032,Roads Connectivity Sector I,Nepal,Grant | Loan,Closed,0051 | 8231,2006-08-10,Transportation,Road transport (non-urban),B,B,A,NEP,South Asia,2013-06-30,2015-10-27,80.0,73.83,matched,6.9,9.2,2.3,-6.170000000000002,False,True,2015,2006,2006,403.67,1276.44,2015,249.37,316.04,1276.44,316.04,mega,1,1,Both
137,37269-013,CAM: GMS Rehabilitation of the Railway in Cambodia,Cambodia,Loan,Closed,2288 | 8228,2007-01-10,Transportation,Rail transport (non-urban),B,B,A,CAM,Southeast Asia,2013-09-30,2016-11-01,142.56,137.42,matched,6.7,9.8,3.1,-5.140000000000015,False,True,2016,2007,2007,499.98,781.2,2016,389.5,424.29,781.2,424.29,large,1,1,Both
138,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,Cambodia,Grant | Loan,Closed,0187 | 2602,2009-12-15,Transportation,Rail transport (non-urban),B,C,A,CAM,Southeast Asia,2013-09-30,2016-11-01,142.56,137.42,matched,3.8,6.9,3.1,-5.140000000000015,False,True,2016,2009,2009,464.6,644.53,2016,389.5,424.29,644.53,424.29,large,1,1,Both
139,37328-013,Madhya Pradesh State Roads Sector Project II,India,Loan | Technical Assistance,Closed,2330 | 4934,2007-05-31,Transportation,Road transport (non-urban),B,A,B,IND,South Asia,2010-12-31,2012-10-05,400.0,387.0,matched,3.6,5.3,1.8,-13.0,False,True,2012,2007,2007,1373.17,2667.89,2012,1304.96,1672.27,2667.89,1672.27,mega,1,1,Both
140,37381-013,Dry Zone Urban Water and Sanitation Project,Sri Lanka,Grant | Loan,Closed,0129 | 0130 | 2477 | 2977,2008-11-28,Water,Urban sanitation ,A,C,A,SRI,South Asia,2016-12-31,2019-12-23,163.32,132.85,matched,8.1,11.1,3.0,-30.47,False,True,2019,2008,2008,511.81,897.64,2019,459.32,459.32,897.64,459.32,large,1,1,Both
141,37487-013,Zhengzhou-Xi'an Railway Project,China,Loan,Closed,2182,2005-09-22,Transportation,Rail transport (non-urban),A,B,B,PRC,East Asia,2014-12-31,2015-01-20,4131.93,6898.81,matched,9.3,9.3,0.1,2766.88,True,True,2015,2005,2005,11966.35,19643.38,2015,11361.12,12586.79,19643.38,12586.79,mega,1,1,Both
142,37490-013,Eastern Sichuan Roads Development Project,China,Loan,Closed,2339,2007-07-17,Transportation,Road transport (non-urban),A,C,A,PRC,East Asia,2012-12-31,2013-04-19,1425.0,1730.0,matched,5.5,5.8,0.3,305.0,True,True,2013,2007,2007,3613.8,5284.79,2013,2959.98,3319.64,5284.79,3319.64,mega,1,1,Both
143,37494-013,Hunan Roads Development III,China,Loan,Closed,2219,2005-12-15,Transportation,Road transport (non-urban),A,A,A,PRC,East Asia,2012-06-30,2013-06-20,519.51,898.09,matched,6.5,7.5,1.0,378.58,True,True,2013,2005,2005,1504.54,2469.78,2013,1536.61,1723.32,2469.78,1723.32,mega,1,1,Both
144,37559-013,Multitranche Financing Facility-National Highway Development Sector Investment Program,Pakistan,Loan,Closed,2,2005-12-13,Transportation,,A,C,A,PAK,Central and West Asia,2010-12-31,2015-06-03,491.15,407.32,matched,5.0,9.5,4.4,-83.82999999999998,False,True,2015,2005,2005,1953.99,5761.09,2015,1321.94,1571.45,5761.09,1571.45,mega,1,1,Both
145,37559-033,National Highway Development Sector Investment Program-Project 1,Pakistan,Loan,Closed,2231,2006-02-15,Transportation,Road transport (non-urban),A,C,A,PAK,Central and West Asia,2010-12-31,2011-04-19,224.3,160.18,matched,4.9,5.2,0.3,-64.12,False,True,2011,2006,2006,875.12,2434.19,2011,549.1,862.69,2434.19,862.69,mega,1,1,Both
146,37559-043,National Highway Development Sector Investment Program - Tranche 2,Pakistan,Loan,Closed,2540,2009-08-26,Transportation,Road transport (non-urban),A,C,A,PAK,Central and West Asia,2014-12-31,2015-06-03,266.85,247.14,matched,5.3,5.8,0.4,-19.710000000000036,False,True,2015,2009,2009,1045.79,2115.2,2015,802.08,953.47,2115.2,953.47,mega,1,1,Both
147,37597-013,Wuhan Wastewater and Stormwater Management (formerly Wuhan Wastewater and Stormworks Management),China,Loan,Closed,2240,2006-06-26,Water,Urban flood protection ,A,C,A,PRC,East Asia,2011-06-30,2014-06-30,266.4,513.6,matched,5.0,8.0,3.0,247.20000000000005,True,True,2014,2006,2006,743.96,1174.06,2014,854.23,947.69,1174.06,947.69,mega,1,1,Both
148,37603-013,Nanjing Qinhuai River Environmental Improvement  Project,China,Loan,Closed,2297,2006-12-18,Water,Urban flood protection ,A,C,A,PRC,East Asia,2012-06-30,2015-04-10,236.1,240.0,matched,5.5,8.3,2.8,3.9000000000000057,True,True,2015,2006,2006,659.35,1040.53,2015,395.24,437.88,1040.53,437.88,mega,1,1,Both
149,37734-013,GMS Nam Theun 2 Hydroelectric Project,Lao People's Democratic Republic,Loan,Closed,2162,2005-04-04,Energy,Large hydropower generation,A,C,A,LAO,Southeast Asia,2011-02-02,2011-02-02,1450.0,1304.0,matched,5.8,5.8,0.0,-146.0,False,False,2011,2005,2005,7838.49,15948.55,2011,3926.5,5264.65,15948.55,5264.65,mega,1,1,Both
