projectid,safe_env,safe_indigenous,safe_resettle,countrycode,regionname,countryshortname,country_classification_23,country_classification_approval,approved_amount_adb,disbursed_amount,approvalyear,closingyear,duration_years,delay,cofin_initial,cofin_final,totalcost_initial,totalcost_final,cost_increase,sector1,sector2,sector3,sector4,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrowerperformance,pcr_ea_performance,pcr_adb_performance,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb_performance,pcr_quality,Source of latest rating,AER reporting year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
32273,B,D,D,VIE,Southeast Asia,Viet Nam,C,B1,120,105.68,2004,2012,5.05,2.36,50,52,273.6,245.9,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,less than effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,successful,highly relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than satisfactory,PVR,2013,successful,highly relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
32288,D,D,D,BHU,South Asia,Bhutan,A,A,9.6,10.43,2000,2006,4.74,1.11,,,12.8,14.25,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
32298,D,D,D,IND,South Asia,India,B,B2,69,55.36,2007,2015,7.26,0.99,,,125.5,81.23,False,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PPER,2019,successful,relevant,effective,highly efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
32298,D,D,D,IND,South Asia,India,B,B,166,134.02,2009,2015,4.22,2.06,,,270.2,163.8,False,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2018,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
32298,D,D,D,IND,South Asia,India,B,B2,90,74.16,2007,2014,4.36,2.33,,,159.7,81.81,False,Energy,Electricity transmission and distribution,na,na,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2017,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
32298,D,D,D,IND,South Asia,India,B,B2,45,40.75,2007,2013,4.49,1.79,,,65.7,64.3,False,Energy,Energy sector development and institutional reform,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2016,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
32298,D,D,D,IND,South Asia,India,B,B2,106,97.27,2007,2013,4.24,1.59,,,132.5,114.1,False,Energy,Energy sector development and institutional reform,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2014,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
32298,D,D,D,IND,South Asia,India,B,B2,144,141.9,2007,2013,4.36,1.71,,,197.8,176.1,False,Energy,Energy sector development and institutional reform,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2015,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
32300,B,D,D,IND,South Asia,India,B,B2,221.2,113.88,2005,2016,10.53,0.41,,,316.1,158.03,False,Water,Urban sewerage,Transportation,Urban roads and traffic management,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,less than satisfactory,satisfactory,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2019,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,less than satisfactory,satisfactory
32327,A,D,D,PRC,East Asia,China,C,B2,82.36,81.89,2002,2009,5.53,1.39,13.18,17.23,165.34,173.61,True,Water,Urban sewerage,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2011,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
32334,B,D,D,PRC,East Asia,China,C,B2,300,299.99,2002,2009,5.53,1.37,,,1019,1036,True,Transportation,Road transport (non-urban),na,na,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,na,na,na,na,na,na,na,na,na,PCR,2012,na,na,na,na,na,na,na,na
32336,A,D,D,PRC,East Asia,China,C,B2,250,250,2003,2009,4.43,1.23,157.9,264.4,582,766.7,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,Highly Relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2011,successful,Highly Relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
32373,B,D,D,BHU,South Asia,Bhutan,A,A,27.3,29.15,2005,2012,5.25,1.28,,,34.1,36.29,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2014,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
32499,B,D,D,PHI,Southeast Asia,Philippines,C,C,30.5,17.79,2003,2010,6.34,0.14,6.3,,48.8,25.6,False,Water,"Urban policy, institutional and capacity development",na,na,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,less than effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2011,successful,relevant,less than effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
32513,B,D,D,TAJ,Central and West Asia,Tajikistan,A,A,34,39.95,2000,2009,5.53,2.82,15.3,25.87,62.8,75.41,True,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,less than efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than satisfactory,PVR,2010,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
32514,B,D,D,TAJ,Central and West Asia,Tajikistan,A,A,20,20.98,2000,2007,4.28,1.97,4,3.9,26.8,27.52,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
32525,B,D,D,FIJ,Pacific,Fiji,B,B,16.8,16.12,2002,2007,4.32,0.67,,,32.26,36.23,True,Transportation,Water transport (non-urban),na,na,successful,highly relevant,effective,efficient,nr,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2009,successful,relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory
33062,D,D,D,INO,Southeast Asia,Indonesia,C,B2,190,180.71,2000,2007,4.3,2.73,,,250,261,True,Transportation,Road transport (non-urban),na,na,successful,relevant,nr,nr,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,nr,less than likely sustainable,satisfactory,less than satisfactory,less than satisfactory,less than satisfactory,PVR,2009,less than successful,relevant,less than effective,nr,less than likely sustainable,satisfactory,less than satisfactory,less than satisfactory
33175,A,D,D,PRC,East Asia,China,C,B2,300,290.11,2000,2007,5.37,1.49,,,2835,2616.7,False,Transportation,Rail transport (non-urban),na,na,highly successful,highly relevant,highly effective,highly efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory
33176,A,D,D,PRC,East Asia,China,C,B2,150,150,2001,2008,4.01,2.36,110.4,207.9,455.2,465.2,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
33177,A,D,D,PRC,East Asia,China,C,B2,100,98.65,2003,2009,5.31,0.73,179.6,294.1,399.5,461.7,True,Water,Urban water supply,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PPER,2009,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
33218,B,D,D,MLD,South Asia,Maldives,A,A,6,5.36,2005,2013,5.93,2.45,,,7.5,7.94,True,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,highly effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2015,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
33243,A,D,D,BAN,South Asia,Bangladesh,B,B1,94,67.61,2000,2009,4.59,3.79,,,160.2,117.77,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PPER,2010,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
33307,A,D,D,VIE,Southeast Asia,Viet Nam,C,B1,6,6.21,2005,2010,2.78,1.61,,,8,7.8,False,Transportation,Road transport (non-urban),na,na,successful,relevant,nr,nr,nr,satisfactory,satisfactory,satisfactory to highly satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2011,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
33432,B,D,D,LAO,Southeast Asia,Lao People's Democratic Republic,A,A,25,28.86,2001,2008,5.52,1.09,4.4,5.35,37,43.67,True,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,highly satisfactory,PPER,2009,successful,less than relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
33442,A,D,D,PRC,East Asia,China,C,B2,200,199.4,2001,2008,5.17,1.04,,,775,781.4,True,Transportation,Rail transport (non-urban),na,na,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
33443,B,D,D,PRC,East Asia,China,C,B2,33.12,39.03,2002,2010,5.69,2.15,6.36,6.25,77.27,83.55,True,Energy,Renewable energy generation-biomass and waste,na,na,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2011,successful,relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory
33459,A,D,D,PRC,East Asia,China,C,B2,270,264.15,2003,2010,4.59,2.1,,,762,1333,True,Transportation,Urban roads and traffic management,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
33469,A,D,D,PRC,East Asia,China,C,B2,250,250,2003,2012,5.81,3.08,,,611.8,865,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2013,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
33470,A,D,D,PRC,East Asia,China,C,B2,300,299.6,2004,2012,5.55,2.05,,,882,1341,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2013,na,na,na,na,na,na,na,na
33548,B,D,D,UZB,Central and West Asia,Uzbekistan,B,C,36,35.78,2001,2010,5.76,3.38,,,65.5,72.4,True,Water,Urban water supply,na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2011,successful,relevant,effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
34097,A,D,D,PRC,East Asia,China,C,B2,124,124.01,2002,2008,4.61,0.6,,,326.8,287,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory
34100,B,D,D,INO,Southeast Asia,Indonesia,C,B2,161,152.5062,2002,2014,5.78,5.75,,,256,266.28,True,Energy,Renewable energy generation - small hydropower,na,na,successful,nr,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2015,na,na,na,na,na,na,na,na
34121,B,D,D,PNG,Pacific,Papua New Guinea,B,B2,19,19.1,2004,2014,8.27,1.56,3.9,3.7,28.1,33.1,True,Transportation,Water transport (non-urban),na,na,less than successful,relevant,less than effective,inefficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,inefficient,less than likely sustainable,satisfactory,satisfactory,less than satisfactory,less than satisfactory,PVR,2015,less than successful,relevant,less than effective,inefficient,less than likely sustainable,satisfactory,satisfactory,less than satisfactory
34159,B,D,D,INO,Southeast Asia,Indonesia,C,B2,151,143.05,2005,2011,5.26,0.3,,,215.74,274.13,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,satisfactory,PVR,2012,successful,highly relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory
34174,D,D,D,PRC,East Asia,China,C,B2,600,500.4,2005,2013,6.53,0.85,,,2077,3102.63,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2014,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
34197,B,D,D,LAO,Southeast Asia,Lao People's Democratic Republic,A,A,16.6,16.46,2005,2014,5.1,3.63,10.7,11.39,31.5,33.66,True,Water,Urban water supply,Transportation,Urban roads and traffic management,successful,relevant,highly effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,successful,relevant,highly effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,satisfactory,PVR,2015,successful,relevant,highly effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory
34263,B,D,D,IND,South Asia,India,B,B2,180,180,2002,2008,5.57,0.45,,,341.4,379.5,True,Transportation,Road transport (non-urban),na,na,highly successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
34321,D,D,D,LAO,Southeast Asia,Lao People's Democratic Republic,A,A,30,34.1,2002,2009,4.53,2,58.5,91.78,95.79,129.08,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PPER,2011,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
34333,B,D,D,PAK,Central and West Asia,Pakistan,B,B1,186.7,114.09,2003,2011,6.12,1.27,,,268.55,213.889,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2012,na,na,na,na,na,na,na,na
34355,B,D,D,VIE,Southeast Asia,Viet Nam,C,B1,44,40.4,2003,2012,6.07,2.32,31.8,35.7,96,101.2,True,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory,less than satisfactory,PVR,2013,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory
34356,B,D,D,VIE,Southeast Asia,Viet Nam,C,B1,95,93.67,2005,2013,5.14,2.44,11,14.43,138,139.04,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2014,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
34374,D,D,D,BHU,South Asia,Bhutan,A,A,9.4,9.76,2003,2006,3.5,-0.28,,,13,13.3,True,Energy,Electricity transmission and distribution,na,na,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2009,na,na,na,na,na,na,na,na
34390,B,D,D,CAM,Southeast Asia,Cambodia,A,A,44.3,38.9,2003,2011,5.05,2.35,25.7,27.6,95,76,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2013,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
34415,B,D,D,BAN,South Asia,Bangladesh,B,B1,126,71.69,2003,2013,5.12,4.09,,,187.1,127.14,False,Transportation,Road transport (non-urban),na,na,less than successful,relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2015,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
34420,B,D,D,IND,South Asia,India,B,B2,500,499.6,2003,2012,8.08,0.36,,,760.2,1137.3,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2016,successful,less than relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
34472,A,D,D,PRC,East Asia,China,C,B2,83,80.42,2003,2010,5.64,1.79,,,193.6,212.72,True,Water,Urban sewerage,na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
34476,A,D,D,PRC,East Asia,China,C,B2,35,34.04,2003,2008,4.41,0.34,38,40.2,87,93.4,True,Energy,Energy efficiency and conservation,na,na,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,satisfactory,PPER,2010,highly successful,highly relevant,highly effective,highly efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory
34561,A,D,D,PRC,East Asia,China,C,B2,200,173.45,2000,2007,4.86,2.06,,,834,809,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
34569,B,D,D,TAJ,Central and West Asia,Tajikistan,A,A,15,14.9,2003,2009,5.04,0.3,6,5.98,23.6,23.3,False,Transportation,Road transport (non-urban),na,na,highly successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2011,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
35087,B,D,D,AZE,Central and West Asia,Azerbaijan,C,B1,30,30.7,2004,2012,6.56,0.61,,,39.89,45.7,True,Water,Urban water supply,na,na,less than successful,relevant,less than effective,inefficient,most likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than successful,less than relevant,less than effective,inefficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,PVR,2012,less than successful,less than relevant,less than effective,inefficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
35139,B,D,D,INO,Southeast Asia,Indonesia,C,B2,140,99.26,2002,2014,5.79,5.75,,,175,173.75,False,Energy,Electricity transmission and distribution,na,na,less than successful,relevant,less than effective,less than efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2015,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
35143,D,D,D,INO,Southeast Asia,Indonesia,C,B2,88.6,72.99,2003,2011,6.04,1.41,,,126.5,107.91,False,Water,Urban slum development,na,na,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
35201,B,D,D,SRI,South Asia,Sri Lanka,B,B1,50,39.7,2005,2015,6.44,3.45,,,66.7,56.8,False,Water,Urban water supply,Transportation,Urban roads and traffic management,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2017,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
35314,B,D,D,PAK,Central and West Asia,Pakistan,B,B1,50,53.88,2002,2007,4.59,0.44,,,71.4,78.18,True,Water,Urban water supply,na,na,highly successful,highly relevant,highly effective,highly efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
35335,B,D,D,IND,South Asia,India,B,B2,400,388.35,2004,2012,4.03,3.36,,,670.6,744.4,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2017,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
35337,A,D,D,PRC,East Asia,China,C,B2,200,200,2004,2010,4.2,1.18,,,726,809.4,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
35338,A,D,D,PRC,East Asia,China,C,B2,312.5,312.29,2004,2011,5.81,0.85,,,778.1,989.72,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,less than efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
35339,A,D,D,PRC,East Asia,China,C,B2,500,500,2003,2011,6.55,1.48,725,1498.42,2363,4125.09,True,Transportation,Rail transport (non-urban),na,na,successful,highly relevant,highly effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PPER,2013,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
35340,A,D,D,PRC,East Asia,China,C,B2,55.8,50.1939,2005,2012,4.92,2.31,27.19,61.41,185.5,198.84,True,Water,Urban sewerage,na,na,less than successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2014,na,na,na,na,na,na,na,na
35377,B,D,D,MON,East Asia,Mongolia,B,A,65.41973389,66.93,2004,2015,5.45,5.58,25.4,25.4,78.14,153,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2016,less than successful,relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
35457,B,D,C,AZE,Central and West Asia,Azerbaijan,C,B1,52,40.4,2005,2010,4.48,0.04,,,93.2,137.6,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PPER,2012,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
