id,regionname,countryshortname,status,last_stage_reached_name,project_name,sector1,sector2,pdo,public_disclosure_date,approvalyear,effectiveyear,closingyear,boardapprovaldate,loan_effective_date,closingdate,cost_wb,cost_non_wb,cost_wb_ratio,cost_non_wb_ratio,totalcost_initial,totalcost_final,cost1_wb_ibrd,cost2_wb_ida,cost3_grant,cost123_total,lendinginstr,envassesmentcategorycode,esrc_ovrl_risk_rate,supplementprojectflg,proj_last_upd_date,projectfinancialtype
P090377,East Asia and Pacific,China,Closed,BANK APPROVED,CN-GEF-Second Shandong Environment Project,"Water, Sanitation and Waste Management",Sanitation,The Global Environment Objective of the GEF activity is to reduce land-based pollution along the Yantai coast and the Bohai Sea through development of a pilot septic-tank management system in Yantai and dissemination of the Yantai model in Shandong Province and in other parts of China.,2/27/07,2007,2007,2013,2/27/07,6/7/07,12/31/13,96780000,109720000,0.47,0.53,206500000,206500000,,,5000000,5000000,Specific Investment Loan,A,Not Applicable,Y,1/15/13,
P090390,"Middle East, North Africa, Afghanistan, and Pakistan",Afghanistan,Closed,BANK APPROVED,Emergency Transport Rehabilitation Project - Supplemental Grant,Transportation,Rural and Inter-Urban Roads, Rehabilitation and upgrading of the first 68 km road section of the Taloqan - Faizabad road component of the Emergency Transport Rehabilitation Project (ETRP) up to the town of Keshem.  The remaining 110 km of the Taloqan - Faizabad is expected to be co-financed on parallel basis by USAID.The supplemental credit may also be used to provide additional funds to complete financing of other ongoing or new components of ETRP.,11/23/04,2005,,2009,5/19/05,,6/30/09,0,45000000,0,1,45000000,45000000,0,45000000,0,45000000,Specific Investment Loan,B,Not Applicable,Y,3/11/21,IDA
P090656,Europe and Central Asia,Albania,Closed,BANK APPROVED,Energy Community of South East Europe (ECSEE) Project APL2 (Albania),Energy and Extractives,Energy Transmission and Distribution,"The project would provide investment support and technical assistance for Albania.  The objective of the investment is to extend the lifetime and improve the quality, reliability, safety and efficiency of the bulk power transmission system by replacing ageing existing facilities with new ones.  The technical assistance would serve to facilitate project implementation, strengthen the Transmission System Operator, and improve both the tariff structure and the procurement procedures applicable to electricity imports.",1/6/05,2005,2005,2012,6/28/05,12/21/05,6/30/12,25140000,27000000,0.48,0.52,52140000,52140000,0,27000000,20000000,47000000,Investment Project Financing,B,Not Applicable,N,1/15/13,IDA
P090666,Europe and Central Asia,Bosnia and Herzegovina,Closed,BANK APPROVED,Energy Community of South East Europe (ECSEE) APL3-Bosnia and Herzegovina Project,Energy and Extractives,Renewable Energy Hydro,"The countries of South East Europe, including Bosnia and Herzegovina, and the European Commission are cooperating to develop a regional energy market, the Energy Community of South East Europe (ECSEE) and integrate it into the internal energy market of the European Union. The objective of the project is to facilitate BiH's participation in ECSEE through investments to: (i) improve dam safety;(ii) reduce adverse environmental impacts at thermal power stations; (iii) replace ageing existing facilities and equipment at hydropower and thermal power stations; (iv) rehabilitate distribution systems and introduce distribution Supervisory Control and Data Acquisition (SCADA) systems, (v) establish a market operation system, (vi) provide hardware and software to improve the financial management information systems of the Elektroprivredas; and through technical assistance to facilitate project implementation, and determine the best way to reduce sulfur dioxide and nitrogen oxide emissions at a power plant.",12/1/05,2006,2007,2012,6/16/06,4/13/07,6/30/12,236410000,36000000,0.87,0.13,272410000,272409984,0,36000000,227770000,263770000,Investment Project Financing,B,Not Applicable,N,4/18/13,IDA
P090675,Europe and Central Asia,Bosnia and Herzegovina,Closed,BANK APPROVED,Sarajevo Waste Water Project,"Water, Sanitation and Waste Management",Sanitation,"Improve the living conditions of populations in the areas covered by the Sarajevo Water and Waste Water Company and in downstream riverside communities by: (a) reducing the population's exposure to, and reliance on highly polluted water from the Miljacka and Bosna Rivers; and (b) improving the efficiency of the waste water collection network in the Sarajevo Canton.",12/3/08,2009,2010,2017,12/22/09,7/15/10,5/31/17,2000000,35000000,0.05,0.95,37000000,37000000,35000000,0,0,35000000,Investment Project Financing,B,Not Applicable,N,10/12/23,IBRD
P090991,East Asia and Pacific,Indonesia,Closed,BANK APPROVED,ID-Urban Water Supply and Sanitation,"Water, Sanitation and Waste Management",Water Supply,The objective of the Project is to improve and expand water supply services in the Project areas by strengthening local water utilities to become operationally efficient and financially sustainable.,4/20/05,2009,2009,2014,7/28/09,11/25/09,12/31/14,9980000,23560000,0.3,0.7,33540000,33540000,23560000,0,0,23560000,Investment Project Financing,B,Not Applicable,N,4/22/24,IBRD
P091038,"Middle East, North Africa, Afghanistan, and Pakistan",Afghanistan,Closed,BANK APPROVED,ARTF - Rural Water Supply and Sanitation Project,"Water, Sanitation and Waste Management",Sanitation,"i) Improve the health of rural communities in Afghanistan  by increasing awarene ss through integration of health and hygiene education with the provision of saf e and sustainable water supply and sanitation services;ii) Strengthen and build the capacity of government (central and provincial) for  sector development and that of NGOs, the private sector and the communities to scale up provision of sustainable water supply and sanitation facilities.",12/15/05,2005,2006,2009,12/15/05,2/26/06,12/31/09,7650000,0,1,0,7650000,7650000,,,7650000,7650000,Specific Investment Loan,B,Not Applicable,N,1/15/13,Grants
P091039,"Middle East, North Africa, Afghanistan, and Pakistan",Afghanistan,Closed,BANK APPROVED,Reapir of Kabul City Roads & Drainage System,Transportation,Roads and highways,,11/8/03,2003,2004,2005,11/8/03,2/17/04,6/30/05,2828149.8,0,1,0,2828149.8,2828149.8,,,2828149.8,2828149.8,Technical Assistance Loan,B,Not Applicable,N,3/11/21,Grants
P091060,"Middle East, North Africa, Afghanistan, and Pakistan",Afghanistan,Closed,BANK APPROVED,Improvement of Power Supply to kabul,Energy and Extractives,Power,The objectives of this project are to improve the availability and reliability o f power supply in Kabul by rehabilitating critical hydropower in Mahipar and tra nsmission facilities.,12/10/03,2003,2004,2009,12/10/03,2/2/04,3/31/09,7435000,0,1,0,7435000,7435000,,,7435000,7435000,Technical Assistance Loan,C,Not Applicable,N,1/15/13,Grants
P091314,"Middle East, North Africa, Afghanistan, and Pakistan",West Bank and Gaza,Closed,BANK APPROVED,GZ-NORTH GAZA SEWERAGE TREATMENT PLANT ADDITIONAL FINANCING,"Water, Sanitation and Waste Management",Sanitation,The project objectives are to: (i) mitigate the immediate gathering health and environmental safety threats to the communities surrounding the effluent lake at BLWTP; and (ii) Provide a satisfactory long-term solution to the treatment of wastewater for the Northern Government in Gaza.,1/28/08,2008,,2018,4/22/08,,6/30/18,12000000,0,1,0,12000000,12000000,,,12000000,12000000,Investment Project Financing,A,Not Applicable,Y,11/14/22,Other
P091407,Latin America and Caribbean,Brazil,Closed,BANK APPROVED,BR Lages Woodwaste Cogeneration,Energy and Extractives,Renewable energy,"The objective of the Project is to reduce emissions by generating energy from renewable sources by (i) substituting electricity produced by thermal plants with electricity from renewable sources, using wood waste from existing wood processing units and other wood residues from legal sources in the State of Santa Catarina, and (ii) avoiding methane emissions from wood waste piles, currently landfilled in most cases in an environmental harmful manner.However this project only claims emission reduction credits from the avoidance of methane emissions from wood waste piles, and not from electricity generation through biomass.",8/2/05,2007,2009,2013,1/18/07,5/19/09,12/30/13,28000000,0,1,0,28000000,28000000,,,7500000,7500000,Specific Investment Loan,B,Not Applicable,N,12/19/24,Other
P092015,Latin America and Caribbean,Chile,Closed,BANK APPROVED,Chile Quilleco Hydropower Project,Energy and Extractives,Renewable Energy Biomass,"To help mitigate global climate change through certified carbon emission reductions (CERs) of 200,000 tCO2e per year",6/3/05,2006,2006,2017,6/2/06,4/27/06,6/14/17,82600000,0,1,0,82600000,82600000,,,3000000,3000000,Specific Investment Loan,B,Not Applicable,N,12/19/24,Other
P092211,"Middle East, North Africa, Afghanistan, and Pakistan","Yemen, Republic of",Closed,BANK APPROVED,RY-Rural Energy Access Project,Energy and Extractives,Renewable Energy Biomass,The development objective of the Project is to improve electricity access of rural populations in the selected Project Areas.,6/13/06,2009,2010,2017,5/19/09,9/30/10,1/17/17,90300000,25000000,0.78,0.22,115300000,115300000,0,25000000,72500000,97500000,Investment Project Financing,B,Not Applicable,N,7/15/21,Other
P092834,Latin America and Caribbean,Peru,Closed,BANK APPROVED,PE Santa Rosa Hydro Carbon Finance,Energy and Extractives,Renewable energy,To provide a new venue for investment in projects in the Peruvian power sector contributing to global greenhouse gas Certified Emission Reductions (CERs).,6/2/05,2005,2005,2015,5/11/05,5/12/05,2/28/15,1500000,0,1,0,1500000,1500000,,,1500000,1500000,Specific Investment Loan,B,Not Applicable,N,12/19/24,Other
P093186,Western and Central Africa,Nigeria,Closed,BANK APPROVED,Nigeria National Energy Development Project - Carbon,Energy and Extractives,Power,Create documentation for carbon asset in distribution and other relevant components of project as preparation for negotiation of Emission Reduction Purchase Agreement (ERPA).,9/29/06,2007,2009,2013,8/6/07,12/23/09,12/31/13,5869500,0,1,0,5869500,5869500,,,5869500,5869500,Specific Investment Loan,B,Not Applicable,Y,12/19/24,Grants
P093767,Europe and Central Asia,Croatia,Closed,BANK APPROVED,TRADE AND TRANSPORT INTEGRATION,Transportation,Ports/Waterways,"To develop trade along Corridor Vc by improving the capacity, efficiency and quality of services on the southern end of Corridor Vc with particular focus on the port of Ploce and on coordination aspects among all corridor participants. Theproject seeks to achieve this objective through: (i) increased throughput capacity of the port and railway infrastructure (ii) efficient operation of the corridor including the Port of Ploce; (iii) high quality of services; (iv) competitivealternative to other corridors; and, (v) increased private sector involvement to address these priorities, reduce commercial risks and secure financing for port cargo handling equipment.",8/3/05,2006,2007,2016,11/14/06,3/20/07,5/31/16,41321780,72920000,0.36,0.64,114241780,116620000,72920000,0,14381780,87301776,Investment Project Financing,A,Not Applicable,N,5/16/23,IBRD
P093856,Eastern and Southern Africa,Uganda,Closed,BANK APPROVED,UG - Sustainable Environment & Carbon Finance,"Water, Sanitation and Waste Management",Waste Management,"The overall goal of this Carbon Finance project is carbon sequestration through municipal solid waste management by composting. It is estimated that the overall project will generate on average 83,700 metric tonnes CO2 equivalent per annum for the first 7 year crediting period.This carbon offset operation corresponds to the investments under the International Development Association (IDA) project P073089 and its Additional Financing P111366.",7/15/09,2009,2009,2015,7/15/09,7/21/09,12/31/15,8400000,0,1,0,8400000,8400000,,,8400000,8400000,Specific Investment Loan,B,Not Applicable,N,12/19/24,Grants
P094007,"Middle East, North Africa, Afghanistan, and Pakistan",Morocco,Closed,BANK APPROVED,Morocco - Second Rural Roads Project,Transportation,Rural and Inter-Urban Roads,The objective of the Project is to increase rural populations' access to all-weather roads in support of the Guarantor's Program.,7/22/05,2006,2006,2017,5/2/06,12/4/06,6/30/17,594000000,60000000,0.91,0.09,654000000,654000000,60000000,0,217000000,277000000,Investment Project Financing,B,Not Applicable,N,11/21/18,IBRD
P094306,"Middle East, North Africa, Afghanistan, and Pakistan",Jordan,Closed,BANK APPROVED,JO - Amman East Power Plant,Energy and Extractives,Non-Renewable Energy Generation,To meet the electricity needs of the country in an economically and environmenta lly sustainable manner to contribute to economic growth and well-being of the po pulation of Jordan. The purpose of the PRG is to enhance competition and therefo re help reduce the project's financing costs.,7/17/06,2007,,2009,3/13/07,,8/27/09,375000000,0,1,0,375000000,375000000,,,110000000,110000000,Investment Project Financing,Not Available,Not Available,N,12/19/24,Other
P094311,"Middle East, North Africa, Afghanistan, and Pakistan","Egypt, Arab Republic of",Closed,BANK APPROVED,Integrated Sanitation& Sewerage Infrastructure Project,"Water, Sanitation and Waste Management",Sanitation,The main objective of the project is to contribute to the sustainable improvement in: (i) sanitation and environmental conditions for the resident communities and (ii)  the water quality in the selected drainage basins within the served areas.,8/1/05,2008,2009,2015,3/20/08,1/22/09,12/31/15,0,127130316,0,1,127130316,127130320,121196800,5933516,0,127130320,Investment Project Financing,B,Not Applicable,N,11/14/22,IDA
P094495,Latin America and Caribbean,Uruguay,Closed,BANK APPROVED,Uruguay - Montevideo Landfill Gas Recovery Project,"Water, Sanitation and Waste Management",Waste Management,"The development objective of the Montevideo Landfill Gas Recovery Project is to reduce emissions of greenhouse gases (GHGs) from the landfill (mainly methane, CH4), which would, in the absence of the project’s collection and flaring system have been emitted into the atmosphere contributing to the damaging effects of climate change. The delivery of ERs to the Bank according to the delivery schedule agreed upon in the Emissions Reductions Purchase Agreement (ERPA) will be the results indicator that is going to be monitored by the Bank over time. ",6/20/06,2006,2006,2012,12/5/06,12/5/06,12/31/12,9928801,0,1,0,9928801,9928801,,,9928801,9928801,Specific Investment Loan,B,Not Applicable,N,12/19/24,Other
P094848,Western and Central Africa,Sierra Leone,Closed,BANK APPROVED,Urban Water Supply - Supplemental,"Water, Sanitation and Waste Management",Water Supply, To pay outstanding commitments on contracts signed under the previous Urban Water Supply project (P002428).The issue has been discussed with the Country Manager and it has been agreed that a supplemental credit be provided to clear the outstanding commitments.,5/12/05,2005,,2005,6/16/05,,12/31/05,0,3200000,0,1,3200000,3200000,0,3200000,0,3200000,Specific Investment Loan,C,Not Applicable,Y,1/15/13,IDA
P094945,Europe and Central Asia,Ukraine,Closed,BANK APPROVED,Hydropower Rehabilitation Proto-Carbon Finance Project,Energy and Extractives,Power,Hydropower Rehabilitation Project is a potential Carbon Finance (CF) operation which deals with the rehabilitation of nine major hydroelectric plants in Ukraine. The project is supported by the proposed ($106 million) Bank loan. The objective of this task is to help the Loan beneficiary/ the project implementation company (UkrHydroEnergo) mobilize CF support under the Danish Carbon Fund managed by the Bank. Project Idea Note (PIN) approved by the CF Business Review Committee is attached.,5/16/05,2006,,2014,9/15/06,,5/20/14,6970000,0,1,0,6970000,6970000,,,6970000,6970000,Specific Investment Loan,B,Not Applicable,N,7/10/25,Grants
P095081,Eastern and Southern Africa,South Sudan,Closed,BANK APPROVED,SD- Emergency Transport and Infrastructure Development Project - MDTF,Transportation,Roads and highways,"The project development objective is to rehabilitate and develop critical national and rural feeder roads and transport infrastructure, improve critical urban infrastructure in the major towns that form the national and state capitals of Southern Sudan (i.e. Juba, Wau, Malakal, Rumbek, Aweil, Warap, Yei, Yambio,Torit, Bor and Bentiu) and build capacity for planning, construction and sustainable operation, maintenance and management of the infrastructure in Southern Sudan.",12/12/05,2005,2006,2012,12/12/05,8/2/06,6/30/12,178500000,0,1,0,178500000,178500000,,,91544256,91544256,Emergency Recovery Loan,A,Not Applicable,N,3/11/21,Other
P095114,South Asia,India,Closed,BANK APPROVED,Rampur Hydropower Project,Energy and Extractives,Renewable Energy Hydro,"The development objective of the project is (a) to improve the reliability of India's Northern Electricity Grid through the addition of renewable, low carbon energy from the Rampur hydropower project; and (b) to improve the effectiveness of Satluj Jal Vidyut Nigam Limited (SJVN) with respect to the preparation and safe implementation of economically, environmentally, and socially sustainable hydropower projects.",10/13/05,2007,2008,2017,9/13/07,4/14/08,2/27/17,297000000,400000000,0.43,0.57,697000000,697000000,400000000,0,0,400000000,Investment Project Financing,A,Not Applicable,N,2/28/22,IBRD
P095115,Europe and Central Asia,Belarus,Closed,BANK APPROVED,Post-Chernobyl Recovery Project,Energy and Extractives,Oil and Gas,The project aims to provide the population residing in the Chernobyl affected area with energy efficient and reliable heat and hot water services in order to improve their living environment.,5/25/05,2006,2006,2013,4/18/06,8/11/06,12/31/13,10964000,50000000,0.18,0.82,60964000,60964000,50000000,0,0,50000000,Investment Project Financing,B,Not Applicable,N,10/2/23,Other
P095155,Europe and Central Asia,Kazakhstan,Closed,BANK APPROVED,North-South Electricity Transmission Project,Energy and Extractives,Energy Transmission and Distribution,"The primary development objective is to ensure that business enterprises and households in southern Kazakhstan have access to a reliable, cost effective and high quality supply of electricity. The project also aims to promote competition on the electicity market.",6/13/05,2005,2005,2011,10/27/05,12/22/05,11/30/11,60840000,100000000,0.38,0.62,160840000,160840000,100000000,0,13140000,113140000,Investment Project Financing,B,Not Applicable,N,1/15/13,IBRD
P095235,Latin America and Caribbean,Paraguay,Closed,BANK APPROVED,PY Water & Sanitation Sector Modernization,"Water, Sanitation and Waste Management",Sanitation,"The Project Development Objective (PDO) is to increase the efficiency, coverage, and sustainability of water supply and sanitation services in Paraguay by (a) improving the governance of the sector, (b) improving water services and increasing access to sewerage services in the Asuncion metropolitan area, and (c) increasing access to sustainable water and sanitation services in rural areas.",8/6/08,2009,2010,2019,4/14/09,1/29/10,1/31/19,19500000,64000000,0.23,0.77,83500000,83500000,64000000,0,0,64000000,Investment Project Financing,A,Not Applicable,N,11/14/22,IBRD
P095392,"Middle East, North Africa, Afghanistan, and Pakistan","Egypt, Arab Republic of",Closed,BANK APPROVED,EG-Natural Gas Connections Project,Energy and Extractives,Oil and Gas,"The project development objective is to (i) contribute to GOE's program of switching consumption of liquefied petroleum gas (LPG) for natural gas through investment in new connections; and (ii) exploit the scale economies in transportation of natural gas relative to LPG in very densely populated areas, thereby reducing the cost of gas provision.",5/18/06,2008,2009,2014,1/24/08,3/20/09,10/31/14,78700000,75000000,0.51,0.49,153700000,153700000,75000000,0,0,75000000,Investment Project Financing,A,Not Applicable,N,10/18/22,Other
P095485,Latin America and Caribbean,Argentina,Closed,BANK APPROVED,Urban Transport  in Metropolitan Areas,Transportation,Urban Transport,"The overall development objective of the program is to improve the quality and sustainability of urban transport systems in Argentine Metropolitan Areas, through the improvement of sectoral decision making frameworks and by giving priority to public transport modes in the urban transport sector. The project (APL1) development objectives contribute to the overall program development objective by: (i) supporting the design and creation of a multijurisdictional Metropolitan Transport Agency for the Buenos Aires Metropolitan Area (AMBA); (ii) strengthening the institutional capacity of the transport authorities in decision making, planning, priority setting, and resource allocation in urban transport; (iii) improving the quality and performance of urban transport infrastructure and/orservices in medium size Metropolitan Areas; and (iv) improving the physical integration and access to public transport networks in the Buenos Aires Metropolitan Area.",1/21/09,2009,2010,2019,10/20/09,11/26/10,12/31/19,37600000,150000000,0.2,0.8,187600000,187600000,150000000,0,0,150000000,Investment Project Financing,B,Not Applicable,N,11/1/23,Other
P095685,East Asia and Pacific,Indonesia,Closed,BANK APPROVED,Dutch TF Grant - ID Water and Sanitation Program,"Water, Sanitation and Waste Management",Sanitation,"The project development objective is to provide capacity building and technical assistance to bring about reformed and capable institutions for water and sanita tion services and to support the development of related sector investment progra ms in Indonesia. To achieve this, this project will improve provision of water a nd sanitation services through stronger, more efficient institutions; will incre ase stakeholder awareness and participation in the sector and will improve gover nance through implemented new sector policy and indications of reform.",2/10/05,2005,,2012,2/10/05,,4/30/12,6000000,0,1,0,6000000,6000000,,,6000000,6000000,Specific Investment Loan,U,Not Applicable,N,1/15/13,Grants
P095965,South Asia,Bangladesh,Closed,BANK APPROVED,Siddhirganj Power Project,Energy and Extractives,Oil and Gas,Increase supply of electricity to Bangladesh grid network.,11/27/06,2008,2009,2019,10/30/08,3/31/09,12/31/19,312889984,350000000,0.47,0.53,662889984,662889980,0,350000000,0,350000000,Investment Project Financing,A,Not Applicable,N,2/28/22,IDA
P095978,South Asia,Nepal,Closed,BANK APPROVED,Nepal - Village Micro Hydro,Energy and Extractives,Renewable Energy Biomass,"The proposed development objectives of the Carbon Offset Project are: #	Reduce global emissions of carbon dioxide.  #	Increase access to modern energy from renewable energy sources.  The Carbon Offset project complements the ongoing World Bank Power Development Project by providing additional support for the achievement of its development objectives, in particular the objective of improving access of rural areas to electricity services. The overall development objectives of the Power Development Project are: (a) develop Nepal's hydropower potential in an environmentally and socially sustainable manner so as to help meet electricity demand, (b) improve access of rural areas to electricity services, and (c) promote private participation in the power sector as a way to improve sector efficiency and to mobilize financing for the sector's investment requirements.",1/31/07,2007,2007,2019,6/30/07,6/30/07,12/31/19,49757750,9400000,0.84,0.16,59157750,59157752,0,9400000,19857750,29257750,Investment Project Financing,B,Not Applicable,N,12/19/24,Other
P096021,South Asia,India,Closed,BANK APPROVED,Andhra Pradesh & Telangana Road Sector Project,Transportation,Urban Transport,"The development objective of the project is to provide better quality, capacity and safe roads to users in a sustainable manner through enhanced institutional capacity of the Andhra Pradesh government in the road sector.",6/22/06,2009,2010,2019,10/15/09,3/23/10,3/31/19,325860000,320000000,0.5,0.5,645860000,645859970,320000000,0,0,320000000,Investment Project Financing,A,Not Applicable,N,8/1/23,Other
P096158,East Asia and Pacific,China,Closed,BANK APPROVED,Follow Up to CRESP Phase I,Energy and Extractives,Renewable Energy Biomass,The project development objective is to demonstrate early success in large-scale renewable energy investments with participating local developers in one pilot autonomous region and one pilot province.,7/28/05,2006,2006,2011,2/7/06,6/16/06,9/30/11,46090000,86330000,0.35,0.65,132420000,132420000,86330000,0,0,86330000,Investment Project Financing,B,Not Applicable,N,1/15/13,IBRD
P096181,Europe and Central Asia,Kosovo,Closed,BANK APPROVED,Energy Sector Cleanup and Land Reclamation Project,Energy and Extractives,Mining,CLRP’s objectives are to: (a) address environmental legacy issues related to open dumping of ashes on land from KEK’s Kosovo A thermal power plant; (b) enable KEK to free land for community development purposes currently taken by overburden material and to enableKEK to remediate the Kosovo A Ash Dump; and (c) support KEK and MESP to implement continued clean-up operations and environmental good practices in the mining and energy sector.,9/14/05,2006,2007,2016,6/13/06,2/28/07,8/31/16,7472381,10500000,0.42,0.58,17972381,17972380,0,10500000,4327381,14827381,Investment Project Financing,A,Not Applicable,N,7/31/23,Other
P096206,Europe and Central Asia,Serbia,Closed,BANK APPROVED,TRANSPORT REHABILITATION ADDITIONAL FINANCING,Transportation,Rural and Inter-Urban Roads,"To assist the Government of Serbia in reducing cost and improving safety for road users through: (a) improving the condition of selected road sections of the main and regional road network; (b) improving the effectiveness of road maintenance through the introduction of performance-based contracting in two pilot regions; and (c) introducing safe road design principles, road safety audits and targeted improvement measures.",2/28/07,2007,,2012,6/20/07,,9/30/12,5910000,50000000,0.11,0.89,55910000,55910000,50000000,0,0,50000000,Specific Investment Loan,B,Not Applicable,Y,3/11/21,IBRD
P096207,Europe and Central Asia,Ukraine,Closed,BANK APPROVED,Power Transmission Project in Support of the Energy Sector Reform & Development Program,Energy and Extractives,Energy Transmission and Distribution,"The overall program objective is to improve the security, reliability and quality of energy supply, and, therefore, facilitateunimpeded operation of the energy market, both domestically and internationally. The main objective of the Power TransmissionProject is to improve the security, reliability and quality of power supply through the rehabilitation of transmission substationsand the strengthening of the power transmission network. The project will also aim to improve institutional capacity and technicalcapabilities of transmission system operator, UkrEnergo (UE), so that it can assure secure and reliable operation of the highvoltage power grid, and, therefore, facilitate unimpeded operation and opening up of the electricity market.",1/26/06,2007,2008,2016,8/2/07,12/5/08,6/30/16,38000000,200000000,0.16,0.84,238000000,238000000,200000000,0,0,200000000,Investment Project Financing,B,Not Applicable,N,10/2/23,Other
P096217,Europe and Central Asia,North Macedonia,Closed,BANK APPROVED,Energy Infrastructure Improvement Project,Energy and Extractives,Energy Transmission and Distribution,"The objective of the Project is to support the functioning of AD MEPSO in the context of the regional power market through financing investments necessary to rehabilitate and upgrade the power transmission network, increase the level of interconnection with neighboring power systems, and to strengthen the institutional capacity of AD MEPSO.",2/10/11,2011,,2016,4/5/11,,7/31/16,8200000,19100000,0.3,0.7,27300000,27300000,19100000,0,0,19100000,Specific Investment Loan,F,Not Applicable,Y,10/2/23,IBRD
P096302,Eastern and Southern Africa,Tanzania,Closed,BANK APPROVED,Sustainable Management of Mineral Resources,Energy and Extractives,Mining,To strengthen the Governments capacity to manage the mineral sector to improve the socioeconomic impacts of large and small-scale mining for Tanzania and Tanzanians and enhance private local and foreign investment.,2/2/09,2009,2009,2018,6/9/09,9/22/09,12/31/18,5000000,50000000,0.09,0.91,55000000,55000000,0,50000000,0,50000000,Investment Project Financing,B,Not Applicable,N,10/16/23,Other
P096360,Eastern and Southern Africa,Angola,Closed,BANK APPROVED,AO-Water Sector Institutional Development,"Water, Sanitation and Waste Management",Water Supply,The project development objective is to strengthen the institutional capacity and efficiency of the Recipient's agencies in the water sector to improve access to water service delivery.,9/11/06,2008,2010,2019,7/31/08,8/30/10,6/30/19,56200000,177000000,0.24,0.76,233200000,233200000,0,177000000,0,177000000,Investment Project Financing,B,Not Applicable,N,6/20/24,IDA
P096367,Eastern and Southern Africa,Kenya,Closed,BANK APPROVED,WATER AND SANITATION SERVICE IMPROVEMENT PROJECT,"Water, Sanitation and Waste Management",Sanitation,The Project development objective is to increase access to water supply and sanitation services in the project implementing entities’ service areas.,10/12/06,2007,2008,2019,12/20/07,9/2/08,12/31/19,9310000,150000000,0.06,0.94,159310000,159310000,0,150000000,0,150000000,Investment Project Financing,B,Not Applicable,N,8/23/23,Other
P096400,Europe and Central Asia,Turkiye,Closed,BANK APPROVED,Energy Community of South East Europe APL 3 Project,Energy and Extractives,Energy Transmission and Distribution,"The development objective of Turkey ECSEE-APL3 is to increase the safety, reliability, efficiency, and capacity of the bulk power transmission system in Turkey and to improve market access for consumers and suppliers of electricity.",12/19/05,2006,2006,2011,3/24/06,5/9/06,6/30/11,45100000,150000000,0.23,0.77,195100000,195100000,150000000,0,0,150000000,Investment Project Financing,B,Not Applicable,N,1/15/13,Other
P096598,Europe and Central Asia,Montenegro,Closed,BANK APPROVED,Energy Community of South East Europe APL 3 - Montenegro Project,Energy and Extractives,Renewable Energy Hydro,"The objective of ECSEE APL is the development of a functioning regional electricity market in South East Europe and its integration into the internal electricity market of the European Union, through the implementation of priority investments supporting electricity market and power system operations in electricity generation, transmission and distribution as well as technical assistance for institutional/systems development and project preparation and implementation.    Within the overall ECSEE APL objectives/context, this project (ECSEE APL 3 - Montenegro) would provide investment support to EPCG, the Electric Power Utility of Montenegro.  Specifically, the objective of the ECSEE APL3-Montenegro project is to improve the efficiency and reliability of the power system in Montenegro, through better supply security and closer integration into the regional markets.    The ECSEE APL 3 - Montenegro Project consists of the following components:    I.   Telecommunications System Development  II.  Transmission Network Reinforcement  III. Improvement of Operational Reliability of Perucica HPP",3/8/06,2006,,2007,5/22/06,,5/14/07,7000000,9000000,0.44,0.56,16000000,16000000,0,9000000,0,9000000,Adaptable Program Loan,B,Not Applicable,N,1/15/13,Other
P096677,East Asia and Pacific,Indonesia,Closed,BANK APPROVED,ID-PCF-Indonesia Lahendong Geothermal Project,Energy and Extractives,Renewable energy,The development objective of the proposed project is to mitigate global environmental impacts of carbon dioxide (CO2) emissions through purchase of CO2 emissions avoided by the development of the Lahendong II Geothermal Project under the clean development mechanism (CDM). The plant has been developed to meet growing power demand in the North Sulawesi area of Indonesia.,10/2/07,2007,,2013,12/10/07,,12/31/13,28750000,0,1,0,28750000,28750000,,,21250000,21250000,,,,N,12/19/24,Other
P096801,Europe and Central Asia,Turkiye,Closed,BANK APPROVED,Electricity Distribution Rehabilitation Project,Energy and Extractives,Energy Transmission and Distribution,To help improve the reliability of power supply to consumers in Turkey by supporting the implementation of the electricity distribution network rehabilitation and expansion program.,9/14/05,2007,2008,2012,4/19/07,3/21/08,12/31/12,75000000,269400000,0.22,0.78,344400000,344400000,269400000,0,0,269400000,Investment Project Financing,B,Not Applicable,N,1/15/13,Other
P096920,East Asia and Pacific,China,Closed,BANK APPROVED,Ningxia Highway Project,Transportation,Rural and Inter-Urban Roads,"The project?s development objective is to provide high-capacity and quality transport connections between targeted development zones and urban areas, as well as develop all-weather road access in selected rural areas of Ningxia Autonomous Region.",10/20/08,2010,2010,2015,5/13/10,10/27/10,6/30/15,0,257130316,0,1,257130316,257130320,251196800,5933516,0,257130320,Investment Project Financing,A,Not Applicable,N,7/15/21,IBRD
P096923,East Asia and Pacific,China,Closed,BANK APPROVED,Shanghai Urban Environment (APL Phase III),"Water, Sanitation and Waste Management",Sanitation,The project development objective for APL3 is to improve Shanghai's recources and environmental sustainability in the core andsuburban areas through strategic priority investments and selective institutional reforms in the water and wastewater sectors.,2/20/08,2009,2009,2017,6/25/09,12/3/09,6/30/17,431140000,200000000,0.68,0.32,631140000,631139970,200000000,0,0,200000000,Investment Project Financing,A,Not Applicable,N,7/12/23,IBRD
