projectid,safe_env,safe_indigenous,safe_resettle,countrycode,regionname,countryshortname,country_classification_23,country_classification_approval,approved_amount_adb,disbursed_amount,approvalyear,closingyear,duration_years,delay,cofin_initial,cofin_final,totalcost_initial,totalcost_final,cost_increase,sector1,sector2,sector3,sector4,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrowerperformance,pcr_ea_performance,pcr_adb_performance,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb_performance,pcr_quality,Source of latest rating,AER reporting year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance,year_for_plr,totalcost_initial_adj1_plr,include,totalcost_initial_adj2_2019,year_for_closing,totalcost_final_adj1_plr,totalcost_final_adj2_2019,adb_funding_ratio,totalcost_initial_adj,totalcost_final_adj,project_size
32336,A,D,D,PRC,East Asia,China,C,B2,250.0,250.0,2003,2009,4.43,1.23,157.9,264.4,582.0,766.7,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,Highly Relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2011,successful,Highly Relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2003,1784.38,True,3251.39,2009,1661.53,2254.66,0.42955326460481097,3251.39,2254.66,mega
32373,B,D,D,BHU,South Asia,Bhutan,A,A,27.3,29.15,2005,2012,5.25,1.28,,,34.1,36.29,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2014,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2005,118.66,True,245.4,2012,113.14,148.41,0.8005865102639296,245.4,148.41,small
32499,B,D,D,PHI,Southeast Asia,Philippines,C,C,30.5,17.79,2003,2010,6.34,0.14,6.3,,48.8,25.6,False,Water,"Urban policy, institutional and capacity development",na,na,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,less than effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2011,successful,relevant,less than effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,2003,178.7,True,299.25,2010,64.97,77.84,0.625,299.25,77.84,small
32513,B,D,D,TAJ,Central and West Asia,Tajikistan,A,A,34.0,39.95,2000,2009,5.53,2.82,15.3,25.87,62.8,75.41,True,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,less than efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than satisfactory,PVR,2010,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,2000,475.21,True,5190.24,2009,246.3,477.89,0.5414012738853503,5190.24,477.89,mega
32514,B,D,D,TAJ,Central and West Asia,Tajikistan,A,A,20.0,20.98,2000,2007,4.28,1.97,4.0,3.9,26.8,27.52,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2000,202.8,True,2214.98,2007,104.66,291.82,0.7462686567164178,2214.98,291.82,mega
32525,B,D,D,FIJ,Pacific,Fiji,B,B,16.8,16.12,2002,2007,4.32,0.67,,,32.26,36.23,True,Transportation,Water transport (non-urban),na,na,successful,highly relevant,effective,efficient,nr,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2009,successful,relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory,2002,90.96,True,179.38,2007,68.55,107.75,0.5207687538747676,179.38,107.75,small
33062,D,D,D,INO,Southeast Asia,Indonesia,C,B2,190.0,180.71,2000,2007,4.3,2.73,,,250.0,261.0,True,Transportation,Road transport (non-urban),na,na,successful,relevant,nr,nr,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,nr,less than likely sustainable,satisfactory,less than satisfactory,less than satisfactory,less than satisfactory,PVR,2009,less than successful,relevant,less than effective,nr,less than likely sustainable,satisfactory,less than satisfactory,less than satisfactory,2000,1518.58,True,6512.49,2007,1015.87,2166.04,0.76,6512.49,2166.04,mega
33175,A,D,D,PRC,East Asia,China,C,B2,300.0,290.11,2000,2007,5.37,1.49,,,2835.0,2616.7,False,Transportation,Rail transport (non-urban),na,na,highly successful,highly relevant,highly effective,highly efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2000,8668.61,True,16677.97,2007,6635.95,9704.36,0.10582010582010581,16677.97,9704.36,mega
33176,A,D,D,PRC,East Asia,China,C,B2,150.0,150.0,2001,2008,4.01,2.36,110.4,207.9,455.2,465.2,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2001,1392.17,True,2620.5,2008,1018.33,1380.72,0.3295254833040422,2620.5,1380.72,mega
33177,A,D,D,PRC,East Asia,China,C,B2,100.0,98.65,2003,2009,5.31,0.73,179.6,294.1,399.5,461.7,True,Water,Urban water supply,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PPER,2009,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2003,1224.85,True,2231.85,2009,1000.56,1357.74,0.2503128911138924,2231.85,1357.74,mega
33218,B,D,D,MLD,South Asia,Maldives,A,A,6.0,5.36,2005,2013,5.93,2.45,,,7.5,7.94,True,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,highly effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2015,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2005,19.26,True,45.87,2013,14.78,17.44,0.8,45.87,17.44,small
33243,A,D,D,BAN,South Asia,Bangladesh,B,B1,94.0,67.61,2000,2009,4.59,3.79,,,160.2,117.77,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PPER,2010,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2000,509.72,True,1513.87,2009,387.23,713.65,0.5867665418227216,1513.87,713.65,mega
33307,A,D,D,VIE,Southeast Asia,Viet Nam,C,B1,6.0,6.21,2005,2010,2.78,1.61,,,8.0,7.8,False,Transportation,Road transport (non-urban),na,na,successful,relevant,nr,nr,nr,satisfactory,satisfactory,satisfactory to highly satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2011,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2005,34.52,True,95.03,2010,24.97,39.55,0.75,95.03,39.55,small
33432,B,D,D,LAO,Southeast Asia,Lao People's Democratic Republic,A,A,25.0,28.86,2001,2008,5.52,1.09,4.4,5.35,37.0,43.67,True,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,highly satisfactory,PPER,2009,successful,less than relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2001,220.4,True,650.45,2008,161.25,253.16,0.6756756756756757,650.45,253.16,major
33442,A,D,D,PRC,East Asia,China,C,B2,200.0,199.4,2001,2008,5.17,1.04,,,775.0,781.4,True,Transportation,Rail transport (non-urban),na,na,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2001,2370.23,True,4461.51,2008,1710.49,2319.2,0.25806451612903225,4461.51,2319.2,mega
33443,B,D,D,PRC,East Asia,China,C,B2,33.12,39.03,2002,2010,5.69,2.15,6.36,6.25,77.27,83.55,True,Energy,Renewable energy generation-biomass and waste,na,na,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2011,successful,relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,2002,238.46,True,445.99,2010,169.86,215.56,0.42862689271386045,445.99,215.56,small
33459,A,D,D,PRC,East Asia,China,C,B2,270.0,264.15,2003,2010,4.59,2.1,,,762.0,1333.0,True,Transportation,Urban roads and traffic management,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2003,2336.26,True,4256.99,2010,2709.96,3439.08,0.3543307086614173,4256.99,3439.08,mega
33469,A,D,D,PRC,East Asia,China,C,B2,250.0,250.0,2003,2012,5.81,3.08,,,611.8,865.0,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2013,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2003,1875.75,True,3417.88,2012,1542.3,1769.45,0.40863027133050017,3417.88,1769.45,mega
33470,A,D,D,PRC,East Asia,China,C,B2,300.0,299.6,2004,2012,5.55,2.05,,,882.0,1341.0,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2013,na,na,na,na,na,na,na,na,2004,2595.39,True,4420.18,2012,2391.01,2743.16,0.3401360544217687,4420.18,2743.16,mega
34097,A,D,D,PRC,East Asia,China,C,B2,124.0,124.01,2002,2008,4.61,0.6,,,326.8,287.0,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2002,1008.51,True,1886.21,2008,628.25,851.82,0.37943696450428394,1886.21,851.82,mega
34100,B,D,D,INO,Southeast Asia,Indonesia,C,B2,161.0,152.5062,2002,2014,5.78,5.75,,,256.0,266.28,True,Energy,Renewable energy generation - small hydropower,na,na,successful,nr,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2015,na,na,na,na,na,na,na,na,2002,1475.02,True,5226.34,2014,778.83,912.59,0.62890625,5226.34,912.59,mega
34121,B,D,D,PNG,Pacific,Papua New Guinea,B,B2,19.0,19.1,2004,2014,8.27,1.56,3.9,3.7,28.1,33.1,True,Transportation,Water transport (non-urban),na,na,less than successful,relevant,less than effective,inefficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,inefficient,less than likely sustainable,satisfactory,satisfactory,less than satisfactory,less than satisfactory,PVR,2015,less than successful,relevant,less than effective,inefficient,less than likely sustainable,satisfactory,satisfactory,less than satisfactory,2004,63.11,True,124.34,2014,42.54,51.48,0.6761565836298932,124.34,51.48,small
34159,B,D,D,INO,Southeast Asia,Indonesia,C,B2,151.0,143.05,2005,2011,5.26,0.3,,,215.74,274.13,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,satisfactory,PVR,2012,successful,highly relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,2005,1068.79,True,2892.62,2011,684.43,920.94,0.6999165662371373,2892.62,920.94,mega
34174,D,D,D,PRC,East Asia,China,C,B2,600.0,500.4,2005,2013,6.53,0.85,,,2077.0,3102.63,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2014,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2005,6015.14,True,9874.16,2013,5308.51,5953.54,0.2888781896966779,9874.16,5953.54,mega
34197,B,D,D,LAO,Southeast Asia,Lao People's Democratic Republic,A,A,16.6,16.46,2005,2014,5.1,3.63,10.7,11.39,31.5,33.66,True,Water,Urban water supply,Transportation,Urban roads and traffic management,successful,relevant,highly effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,successful,relevant,highly effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,satisfactory,PVR,2015,successful,relevant,highly effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,2005,170.28,True,346.46,2014,98.52,109.13,0.526984126984127,346.46,109.13,small
34263,B,D,D,IND,South Asia,India,B,B2,180.0,180.0,2002,2008,5.57,0.45,,,341.4,379.5,True,Transportation,Road transport (non-urban),na,na,highly successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2002,1657.02,True,4328.9,2008,1389.26,2471.89,0.5272407732864676,4328.9,2471.89,mega
34321,D,D,D,LAO,Southeast Asia,Lao People's Democratic Republic,A,A,30.0,34.1,2002,2009,4.53,2.0,58.5,91.78,95.79,129.08,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PPER,2011,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2002,617.41,True,1713.83,2009,481.11,778.14,0.31318509238960224,1713.83,778.14,mega
34333,B,D,D,PAK,Central and West Asia,Pakistan,B,B1,186.7,114.09,2003,2011,6.12,1.27,,,268.55,213.889,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2012,na,na,na,na,na,na,na,na,2003,1126.9,True,3761.44,2011,733.21,1151.94,0.6952150437534909,3761.44,1151.94,mega
34355,B,D,D,VIE,Southeast Asia,Viet Nam,C,B1,44.0,40.4,2003,2012,6.07,2.32,31.8,35.7,96.0,101.2,True,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory,less than satisfactory,PVR,2013,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory,2003,492.74,True,1747.48,2012,295.33,353.18,0.4583333333333333,1747.48,353.18,mega
34356,B,D,D,VIE,Southeast Asia,Viet Nam,C,B1,95.0,93.67,2005,2013,5.14,2.44,11.0,14.43,138.0,139.04,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2014,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2005,595.41,True,1639.05,2013,398.25,457.78,0.6884057971014492,1639.05,457.78,mega
34374,D,D,D,BHU,South Asia,Bhutan,A,A,9.4,9.76,2003,2006,3.5,-0.28,,,13.0,13.3,True,Energy,Electricity transmission and distribution,na,na,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2009,na,na,na,na,na,na,na,na,2003,50.13,True,115.19,2006,45.99,89.24,0.7230769230769231,115.19,89.24,small
34390,B,D,D,CAM,Southeast Asia,Cambodia,A,A,44.3,38.9,2003,2011,5.05,2.35,25.7,27.6,95.0,76.0,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2013,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2003,392.56,True,826.07,2011,224.94,279.8,0.4663157894736842,826.07,279.8,major
34415,B,D,D,BAN,South Asia,Bangladesh,B,B1,126.0,71.69,2003,2013,5.12,4.09,,,187.1,127.14,False,Transportation,Road transport (non-urban),na,na,less than successful,relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2015,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,2003,639.08,True,1672.01,2013,408.82,562.39,0.6734366648850882,1672.01,562.39,mega
34420,B,D,D,IND,South Asia,India,B,B2,500.0,499.6,2003,2012,8.08,0.36,,,760.2,1137.3,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2016,successful,less than relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2003,3438.84,True,8649.29,2012,3834.95,4914.39,0.6577216521967902,8649.29,4914.39,mega
34472,A,D,D,PRC,East Asia,China,C,B2,83.0,80.42,2003,2010,5.64,1.79,,,193.6,212.72,True,Water,Urban sewerage,na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2003,593.57,True,1081.57,2010,432.45,548.8,0.4287190082644628,1081.57,548.8,mega
34476,A,D,D,PRC,East Asia,China,C,B2,35.0,34.04,2003,2008,4.41,0.34,38.0,40.2,87.0,93.4,True,Energy,Energy efficiency and conservation,na,na,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,satisfactory,PPER,2010,highly successful,highly relevant,highly effective,highly efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,2003,266.74,True,486.04,2008,204.45,277.21,0.40229885057471265,486.04,277.21,small
34561,A,D,D,PRC,East Asia,China,C,B2,200.0,173.45,2000,2007,4.86,2.06,,,834.0,809.0,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2000,2550.13,True,4906.32,2007,2051.62,3000.27,0.23980815347721823,4906.32,3000.27,mega
34569,B,D,D,TAJ,Central and West Asia,Tajikistan,A,A,15.0,14.9,2003,2009,5.04,0.3,6.0,5.98,23.6,23.3,False,Transportation,Road transport (non-urban),na,na,highly successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2011,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2003,141.01,True,778.87,2009,76.1,147.65,0.635593220338983,778.87,147.65,major
35087,B,D,D,AZE,Central and West Asia,Azerbaijan,C,B1,30.0,30.7,2004,2012,6.56,0.61,,,39.89,45.7,True,Water,Urban water supply,na,na,less than successful,relevant,less than effective,inefficient,most likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than successful,less than relevant,less than effective,inefficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,PVR,2012,less than successful,less than relevant,less than effective,inefficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,2004,200.31,True,629.28,2012,97.51,131.38,0.7520681875156681,629.28,131.38,major
35139,B,D,D,INO,Southeast Asia,Indonesia,C,B2,140.0,99.26,2002,2014,5.79,5.75,,,175.0,173.75,False,Energy,Electricity transmission and distribution,na,na,less than successful,relevant,less than effective,less than efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2015,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2002,1008.32,True,3572.71,2014,508.2,595.48,0.8,3572.71,595.48,mega
35143,D,D,D,INO,Southeast Asia,Indonesia,C,B2,88.6,72.99,2003,2011,6.04,1.41,,,126.5,107.91,False,Water,Urban slum development,na,na,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2003,649.05,True,2180.1,2011,269.42,362.52,0.700395256916996,2180.1,362.52,mega
35201,B,D,D,SRI,South Asia,Sri Lanka,B,B1,50.0,39.7,2005,2015,6.44,3.45,,,66.7,56.8,False,Water,Urban water supply,Transportation,Urban roads and traffic management,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2017,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2005,265.22,True,686.59,2015,171.16,206.21,0.7496251874062968,686.59,206.21,major
35314,B,D,D,PAK,Central and West Asia,Pakistan,B,B1,50.0,53.88,2002,2007,4.59,0.44,,,71.4,78.18,True,Water,Urban water supply,na,na,highly successful,highly relevant,highly effective,highly efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2002,319.89,True,1105.68,2007,287.64,725.16,0.7002801120448179,1105.68,725.16,mega
35335,B,D,D,IND,South Asia,India,B,B2,400.0,388.35,2004,2012,4.03,3.36,,,670.6,744.4,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2017,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2004,2880.95,True,6853.69,2012,2510.1,3216.63,0.5964807634953773,6853.69,3216.63,mega
35337,A,D,D,PRC,East Asia,China,C,B2,200.0,200.0,2004,2010,4.2,1.18,,,726.0,809.4,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2004,2136.34,True,3638.38,2010,1645.49,2088.21,0.27548209366391185,3638.38,2088.21,mega
35338,A,D,D,PRC,East Asia,China,C,B2,312.5,312.29,2004,2011,5.81,0.85,,,778.1,989.72,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,less than efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2004,2289.65,True,3899.48,2011,1814.47,2131.77,0.4016193291350726,3899.48,2131.77,mega
35339,A,D,D,PRC,East Asia,China,C,B2,500.0,500.0,2003,2011,6.55,1.48,725.0,1498.42,2363.0,4125.09,True,Transportation,Rail transport (non-urban),na,na,successful,highly relevant,highly effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PPER,2013,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2003,7244.85,True,13201.12,2011,7562.59,8885.09,0.21159542953872196,13201.12,8885.09,mega
35340,A,D,D,PRC,East Asia,China,C,B2,55.8,50.1939,2005,2012,4.92,2.31,27.19,61.41,185.5,198.84,True,Water,Urban sewerage,na,na,less than successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2014,na,na,na,na,na,na,na,na,2005,537.22,True,881.87,2012,354.53,406.75,0.3008086253369272,881.87,406.75,major
35377,B,D,D,MON,East Asia,Mongolia,B,A,65.41973389,66.93,2004,2015,5.45,5.58,25.4,25.4,78.14,153.0,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2016,less than successful,relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,2004,486.25,True,2678.53,2015,416.82,564.74,0.8372118491169696,2678.53,564.74,mega
35457,B,D,C,AZE,Central and West Asia,Azerbaijan,C,B1,52.0,40.4,2005,2010,4.48,0.04,,,93.2,137.6,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PPER,2012,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2005,404.77,True,1108.41,2010,351.57,607.05,0.5579399141630901,1108.41,607.05,mega
