projectid_head,projectid,projectname,countryname,projectmodality,status,approvalno,approvaldate,sector1,sector1a,safe_env,safe_ind,safe_res
38272,38272-033,Uttarakhand Urban Sector Development Investment Program - Tranche 2,India,Loan,Closed,2797,11/3/11,Water,Urban sewerage ,B,C,B
38349,38349-013,Air Transport Capacity Enhancement Project (formerly Civil Aviation Airport Development Project),Nepal,Grant | Loan,Closed,0181 | 2581,11/23/09,Transportation,Air transport,B,C,C
38350,38350-013,South Asia Subregional Economic Cooperation Road Connectivity Project,Nepal,Loan | Technical Assistance,Closed,3012 | 8413,7/30/13,Transportation,Road transport (non-urban),A,A,A
38357,38357-013,National Highways Sector Project,Sri Lanka,Loan | Technical Assistance,Closed,2217 | 2767 | 4736 | 8252,12/15/05,Transportation,Road transport (non-urban) ,B,C,A
38426,38426-023,Decentralized Rural Infrastructure and Livelihood Project - Additional Financing,Nepal,Grant | Loan,Closed,0267 | 2796 | 8257,10/31/11,Transportation,Road transport (non-urban),B,B,B
38456,38456-013,MFF - Power Distribution Enhancement Investment Program,Pakistan,Loan,Closed,21,9/3/08,Energy,,B,B,B
38456,38456-023,Power Distribution Enhancement Investment Program- Project 1,Pakistan,Loan,Closed,2438 | 2439,9/12/08,Energy,Electricity transmission and distribution,B,B,B
38456,38456-033,Power Distribution Enhancement Investment Program - Tranche 2,Pakistan,Loan,Closed,2727,12/14/10,Energy,Electricity transmission and distribution,B,C,B
38456,38456-034,Power Distribution Enhancement Investment Program - Tranche 3,Pakistan,Loan,Closed,2972,12/14/12,Energy,Electricity transmission and distribution,B,C,B
38456,38456-037,Power Distribution Enhancement Investment Program - Tranche 4,Pakistan,Loan,Closed,3096,12/13/13,Energy,Conventional energy generation,C,C,C
38479,38479-034,Regional Roads Development Project,Indonesia,Loan,Closed,2817,11/24/11,Transportation,Road transport (non-urban),B,B,A
38492,38492-013,Power Grid Transmission (Sector) Project,India,Loan,Closed,2152,12/21/04,Energy,Electricity transmission and distribution,B,A,A
38618,38618-012,Road Sector Improvement Project (ADF Grant),Timor-Leste,Grant,Closed,17,9/27/05,Transportation,Road transport (non-urban),B,C,C
38628,38628-022,Greater Mekong Subregion Northern Power Transmission Project,Lao People's Democratic Republic,Grant | Loan,Closed,195,1/26/10,Energy,Electricity transmission and distribution,B,C,A
39029,39029-012,Community-based Rural Power Supply Project (formerly called Community-based Electricity Supply in Remote Areas),Tajikistan,Grant,Closed,9089,3/15/06,Energy,,B,C,C
39034,39034-012,Community-Based Rural Roads Maintenance Project,Tajikistan,Grant,Closed,9078,11/4/05,Transportation,,C,C,C
39038,39038-013,Heilongjiang Roads Network Development Project,China,Loan,Closed,2247,7/26/06,Transportation,Road transport (non-urban),A,B,A
39149,39149-013,Western Guangxi Roads Development Project,China,Loan,Closed,2345,8/14/07,Transportation,Road transport (non-urban),A,A,A
39153,39153-013,Chongqing-Lichuan Railway Development Project,China,Loan,Closed,2481,12/8/08,Transportation,Rail transport (non-urban),A,B,A
39153,39153-023,Railway Safety Enhancement Project,China,Loan,Closed,2390,12/12/07,Transportation,Rail transport (non-urban),C,C,C
39176,39176-013,MFF-Road Network Development Program,Azerbaijan,Loan,Closed,14,9/28/07,Transportation,,A,B,A
39176,39176-023,Road Network Development Program - Tranche 1,Azerbaijan,Loan,Closed,2354 | 2355,10/4/07,Transportation,Road transport (non-urban),A,C,A
39176,39176-033,Road Network Development Program - Project 2,Azerbaijan,Loan,Closed,2433,8/22/08,Transportation,Road transport (non-urban),B,C,C
39176,39176-043,Road Network Development Program - Tranche 3,Azerbaijan,Loan,Closed,2831,12/14/11,Transportation,Road transport (non-urban),A,C,A
39176,39176-044,Road Network Development Program - Tranche 4,Azerbaijan,Loan,Closed,3116,3/27/14,Transportation,Road transport (non-urban),B,C,C
39183,39183-012,Public Work Restoration and Rehabilitation of Line Drainage Systems in Tsunami-Affected Local Government Roads.,Sri Lanka,Grant,Closed,9076,10/4/05,Transportation,Road transport (non-urban),C,C,C
39225,39225-022,Road Network Project II,Bhutan,Grant | Technical Assistance,Closed,0174 | 7374,11/10/09,Transportation,Road transport (non-urban) ,A,C,B
39225,39225-034,South Asia Subregional Economic Cooperation Road Connectivity Project,Bhutan,Grant | Loan,Closed,0400 | 3149,7/31/14,Transportation,Road transport (non-urban),B,C,B
39265,39265-022,Western Regional Road Corridor Development Project  - Phase I,Mongolia,Grant,Closed,107,2/26/08,Transportation,Road transport (non-urban),A,C,C
39265,39265-032,Community-Based Local Road Upgrading and Maintenance in the Western Region of Mongolia,Mongolia,Grant,Closed,9121,7/10/08,Transportation,,B,C,C
39415,39415-013,Sustainable Power Sector Support,Sri Lanka,Loan | Technical Assistance,Closed,2733 | 2734 | 7778,1/27/11,Energy,Electricity transmission and distribution ,B,C,B
39419,39419-013,Clean Energy and Access Improvement Project,Sri Lanka,Grant | Loan | Technical Assistance,Closed,0149 | 2518 | 2519 | 7265 | 7266 | 7267,4/14/09,Energy,Electricity transmission and distribution ,B,B,B
39431,39431-013,Colombo Port Expansion Project (formerly Colombo Port South Harbor Development),Sri Lanka,Loan,Closed,2319,2/27/07,Transportation,Water transport (non-urban),A,C,C
39467,39467-012,Rehabilitation of Bamian-Yakawlang Road,Afghanistan,Grant,Closed,9097,9/26/06,Transportation,,B,C,A
39500,39500-023,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 1,Viet Nam,Loan,Closed,2731,12/22/10,Transportation,Urban public transport,B,C,B
39500,39500-033,Ho Chi Minh City  Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,Viet Nam,Loan,Closed,2956,11/27/12,Transportation,Urban public transport,A,C,A
39581,39581-012,Road Improvement (Sector) Project (formerly Road Improvement Program),Solomon Islands,Grant,Closed,0048 | 0049 | 0050,8/8/06,Transportation,Road transport (non-urban),B,C,C
39595,39595-013,Multitranche Financing Facility Mong Duong 1Thermal Power Project,Viet Nam,Loan,Closed,13,9/21/07,Energy,,A,C,A
39595,39595-023,Mong Duong 1  Thermal Power Project - Project 1,Viet Nam,Loan,Closed,2353,10/2/07,Energy,Conventional energy generation,A,C,A
39595,39595-033,Mong Duong 1 Thermal Power Project - Tranche 2,Viet Nam,Loan,Closed,2610,12/21/09,Energy,Conventional energy generation,A,A,B
39619,39619-013,Eastern and North Central Provincial Road Project (formerly Road Network Project [Provincial Roads]),Sri Lanka,Loan | Technical Assistance,Closed,2546 | 7347,9/16/09,Transportation,Road transport (non-urban) ,B,C,B
39630,39630-013,MFF - National Power Grid Development Investment Program (Facility Concept),India,Loan,Closed,19,3/28/08,Energy,,B,C,C
39630,39630-023,MFF - National Power Grid Development Investment Program  (Tranche1),India,Loan,Closed,2415,3/28/08,Energy,Electricity transmission and distribution,B,B,B
39630,39630-033,MFF - National Power Grid Development Investment Program - Tranche 2,India,Loan,Closed,2510,3/3/09,Energy,Electricity transmission and distribution,B,B,B
39630,39630-034,National Power Grid Development Investment Program - Tranche 3,India,Loan,Closed,2823,12/7/11,Energy,Electricity transmission and distribution,B,C,B
39652,39652-013,"MFF-Gansu Heihe Rural Hydropower Development Investment Program [(previously known as ""Gansu Heihe Hydropower Development Project"") Facility Concept]",China,Loan,Closed,8,12/13/06,Energy,,A,B,B
39652,39652-023,"MFF-Gansu Heihe Rural Hydropower Development Investment Program [(previously known as ""Gansu Heihe Hydropower Development Project"") Project 1]",China,Loan,Closed,2296,12/18/06,Energy,Large hydropower generation,A,B,B
39652,39652-033,MFF-Gansu Heihe Rural Hydropower Development Investment Program - Project 2: Dagushan Hydropower Project,China,Loan,Closed,2408,1/28/08,Energy,Large hydropower generation,A,C,B
39655,39655-013,Xinjiang Regional Road Improvement Project (Korla-Kuqa Section),China,Loan,Closed,2393,12/13/07,Transportation,Road transport (non-urban),A,A,A
39669,39669-013,CAREC Regional Road Project,Uzbekistan,Loan,Closed,2403,12/19/07,Transportation,Road transport (non-urban),B,C,C
39674,39674-022,CAREC Transport Corridor 1 (Bishkek-Torugart Road) Project 1,Kyrgyz Republic,Grant,Closed,123,11/14/08,Transportation,Road transport (non-urban),B,C,B
39676,39676-033,CAREC Regional Road Corridor Improvement Project (Supplementary),Kyrgyz Republic,Loan,Closed,2667,9/21/10,Transportation,Road transport (non-urban),B,C,C
40005,40005-013,Jharkhand State Roads Project,India,Loan,Closed,2594,12/2/09,Transportation,Road transport (non-urban),B,B,A
40007,40007-013,Surkhandarya Water Supply & Sanitation Project,Uzbekistan,Grant | Loan,Closed,0131 | 2466,11/3/08,Water,Urban sanitation ,B,C,B
40031,40031-023,MFF - Rajasthan Urban Sector Development Investment Program (Tranche 1),India,Loan,Closed,2366,11/8/07,Transportation,Urban roads and traffic management ,B,B,B
40031,40031-033,Rajasthan Urban Sector Development Investment Program - Tranche 2,India,Loan,Closed,2506,1/19/09,Transportation,Urban roads and traffic management ,B,B,B
40037,40037-013,Lae Port Development Project,Papua New Guinea,Grant | Loan,Closed,0102 | 2398 | 2399 | 8237,12/18/07,Transportation,Water transport (non-urban),A,C,A
40037,40037-043,Lae Port Development Project - Additional Financing,Papua New Guinea,Loan,Closed,2803 | 2804,11/10/11,Transportation,Water transport (non-urban),B,C,C
40050,40050-013,Jilin Urban Environmental Improvement Project,China,Loan,Closed,2360,10/29/07,Water,Urban sewerage ,A,C,A
40061,40061-013,Java-Bali Electricity Distribution Performance Improvement Project,Indonesia,Grant | Loan,Closed,0198 | 2619 | 8245,3/22/10,Energy,Electricity transmission and distribution,C,C,C
40075,40075-013,National Trade Corridor Highway Investment Program,Pakistan,Grant | Loan | Technical Assistance,Closed,0016 | 7008,12/10/07,Transportation,,A,A,A
40075,40075-023,National Trade Corridor Highway Investment Program - Tranche 1,Pakistan,Loan,Closed,2400 | 2401,12/17/07,Energy,Electricity transmission and distribution ,A,A,A
40075,40075-033,"National Trade Corridor Highway Investment Program, Tranche 2",Pakistan,Grant | Loan,Closed,0434 | 3121,4/1/14,Transportation,Road transport (non-urban),A,C,A
40075,40075-043,National Trade Corridor Highway Investment Program - Tranche 3,Pakistan,Grant | Loan,Closed,0435 | 3197,11/25/14,Transportation,Road transport (non-urban),A,C,A
40173,40173-013,Multitranche Financing Facility - Highlands Region Road Improvement Investment Program,Papua New Guinea,Grant | Loan | Technical Assistance,Closed,0029 | 7214,12/16/08,Transportation,,B,B,B
40173,40173-022,Extending the Socioeconomic Benefits of an Improved Road Network to Roadside Communities,Papua New Guinea,Grant,Closed,9130,3/2/09,Transportation,,B,B,C
40173,40173-023,Highlands Region Road Improvement Investment Program - Project 1,Papua New Guinea,Loan,Closed,2496 | 2497,12/22/08,Transportation,Road transport (non-urban),B,B,B
40173,40173-043,Highlands Region Road Improvement Investment Program - Project 2,Papua New Guinea,Loan,Closed,3076 | 3077,12/4/13,Transportation,Road transport (non-urban),B,C,B
40173,40173-044,Highlands Region Road Improvement Investment Program - Project 3,Papua New Guinea,Grant | Loan,Closed,0485 | 3404 | 3408,7/19/16,Transportation,Road transport (non-urban) ,B,C,B
40198,40198-013,Ho Chi Minh City-Long Thanh-Dau Giay Expressway Technical Assistance Project,Viet Nam,Loan,Closed,2374,11/28/07,Transportation,Road transport (non-urban),C,C,C
40198,40198-023,Ho Chi Minh City-Long Thanh-Dau Giay Expressway Construction Project,Viet Nam,Loan,Closed,2451,9/30/08,Transportation,Road transport (non-urban),A,C,A
40263,40263-022,Domestic Maritime Support (Sector) Project,Solomon Islands,Grant | Technical Assistance,Closed,0127 | 0292 | 0293 | 7178,11/25/08,Transportation,Water transport (non-urban),B,C,C
40277,40277-012,Community-Based Heating Supply in Rural Remote Areas,Mongolia,Grant,Closed,9109,6/29/07,Energy,,C,C,C
40287,40287-013,Avatiu Port Development Project,Cook Islands,Grant | Loan,Closed,0249 | 2472 | 2473 | 2739,11/20/08,Transportation,Water transport (non-urban),B,C,B
40296,40296-013,Water Supply and Sanitation Sector Project,Armenia,Loan,Closed,2363,10/31/07,Water,Urban sewerage ,B,C,B
40423,40423-033,Rural Connectivity Investment Program - Tranche 2,India,Loan,Closed,3065,11/25/13,Transportation,Road transport (non-urban),B,C,C
40423,40423-053,Rural Connectivity Investment Program - Tranche 3,India,Loan,Closed,3306,10/22/15,Transportation,Road transport (non-urban),B,C,C
40517,40517-042,Public-Private Infrastructure Development Facility (Supplement),Bangladesh,Grant,Closed,0253 | 0254,5/17/11,Energy,Renewable energy generation - biomass and waste ,C,C,C
40540,40540-014,South Asia Subregional Economic Cooperation Road Connectivity Project,Bangladesh,Loan | Technical Assistance,Closed,2949 | 8221 | 8263,11/22/12,Transportation,Road transport (non-urban),B,C,A
40540,40540-018,"South Asia Subregional Economic Cooperation Dhaka-Northwest Corridor Road Project, Phase 2-Tranche 2",Bangladesh,Loan,Closed,3883,12/6/19,Transportation,Road transport (non-urban),B,C,A
40553,40553-013,Energy Access and Efficiency Improvement Project,Nepal,Grant | Loan,Closed,0182 | 0183 | 2587,11/27/09,Energy,Electricity transmission and distribution ,B,C,A
40554,40554-022,Rural Reconstruction and Rehabilitation Sector Development Program (Project grant),Nepal,Grant | Loan,Closed,0093 | 8234,12/4/07,Transportation,Road transport (non-urban),B,B,B
40573,40573-013,Preparing the Lahore Rapid Mass Transit System Project,Pakistan,Loan,Closed,2424,6/4/08,Transportation,Urban public transport,C,C,C
40610,40610-013,Rural Road Sector Project,Armenia,Loan | Technical Assistance,Closed,2351 | 4973,9/28/07,Transportation,Road transport (non-urban),B,C,C
40610,40610-023,Rural Road Sector Project (Supplementary),Armenia,Loan,Closed,2467,11/7/08,Transportation,Road transport (non-urban),C,C,C
40626,40626-013,Yunnan  Integrated Road Network Development Project,China,Loan | Technical Assistance,Closed,2709 | 7673,12/2/10,Transportation,Road transport (non-urban),A,A,A
40642,40642-013,Guangxi Wuzhou Urban Development Project,China,Loan,Closed,2491,12/15/08,Transportation,Urban roads and traffic management ,A,C,A
40643,40643-013,Xinjiang Urban Transport and Environmental Improvement Project (formerly Xinjiang Urban Transport Infrastructure Development),China,Loan,Closed,2526,6/29/09,Transportation,Urban roads and traffic management ,A,A,A
40648,40648-013,MFF - Infrastructure Development Investment Program for Tourism (Facility Concept),India,Loan,Closed,46,9/28/10,Water,,A,C,C
40648,40648-023,Infrastructure Development Investment Program for Tourism - Tranche 1,India,Loan,Closed,2676,10/4/10,Transportation,Urban roads and traffic management ,B,C,C
40648,40648-033,Infrastructure Development Investment Program for Tourism - Tranche 2,India,Loan,Closed,2833,12/15/11,Transportation,Urban roads and traffic management ,B,C,B
40648,40648-034,Infrastructure Development Investment Program for Tourism - Tranche 3,India,Loan,Closed,3223,12/11/14,Transportation,Urban roads and traffic management ,B,C,B
40648,40648-037,Infrastructure Development Investment Program for Tourism-Tranche 4,India,Loan,Closed,3717,9/28/18,Transportation,Urban roads and traffic management ,B,C,C
41022,41022-022,Second Small Towns Water Supply and Sanitation Sector Project,Nepal,Grant,Closed,157,9/17/09,Water,Urban sanitation ,B,B,B
41038,41038-012,Sustainable Access for Isolated Rural Communities,Tajikistan,Grant,Closed,9111,10/23/07,Transportation,,B,C,C
41074,41074-013,West Kalimantan Power Grid Strengthening Project,Indonesia,Grant | Loan,Closed,0354 | 3015 | 8272,8/27/13,Energy,Electricity transmission and distribution,B,B,B
41116,41116-023,MFF - Jammu and Kashmir Urban Sector Development Investment Program (Subproject 1),India,Loan,Closed,2331,6/4/07,Transportation,Urban roads and traffic management ,B,A,A
41116,41116-033,Jammu and Kashmir Urban Sector Development Investment Program - Tranche 2,India,Loan,Closed,2925,10/26/12,Transportation,Urban roads and traffic management ,B,C,A
41116,41116-043,Jammu and Kashmir Urban Sector Development Investment Program - Tranche 3,India,Loan,Closed,3132,6/18/14,Water,Urban sewerage ,B,C,B
41121,41121-023,CAREC Transport Corridor 1 (Zhambyl Oblast Section) Investment Program - Tranche 1,Kazakhstan,Loan,Closed,2503,12/30/08,Transportation,Road transport (non-urban),B,C,A
41121,41121-033,CAREC Transport Corridor 1 (Zhambyl Oblast Section) Investment Program - Tranche 2,Kazakhstan,Loan,Closed,2562,10/7/09,Transportation,Road transport (non-urban),A,C,A
41121,41121-043,CAREC Transport Corridor 1 (Zhambyl Oblast Section) Investment Program - Tranche 3,Kazakhstan,Loan,Closed,2697 | 8251,11/15/10,Transportation,Road transport (non-urban),A,C,B
41121,41121-053,CAREC Transport Corridor 1 (Zhambyl Oblast Section) Investment Program - Tranche 4,Kazakhstan,Loan,Closed,2735,2/21/11,Transportation,Road transport (non-urban),B,C,B
41122,41122-013,MFF - Road Corridor Investment Program,Georgia,Loan,Closed,34,9/29/09,Transportation,,A,C,C
41122,41122-023,Road Corridor Investment Program - Tranche 1,Georgia,Loan,Closed,2560,10/6/09,Transportation,Road transport (non-urban) ,A,C,A
41122,41122-033,Loan 2716-GEO: Road Corridor Investment Program - Project 2,Georgia,Loan,Closed,2716,12/8/10,Transportation,Road transport (non-urban) ,A,C,A
41122,41122-043,Road Corridor Investment Program - Tranche 3 (Additional Financing),Georgia,Loan,Closed,2843,12/22/11,Transportation,Road transport (non-urban),A,C,A
41123,41123-013,Road Asset Management Project,Cambodia,Grant | Loan,Closed,0104 | 2406 | 8242,1/21/08,Transportation,Road transport (non-urban),B,C,C
41123,41123-015,Road Network Improvement Project,Cambodia,Loan,Closed,3576,9/28/17,Transportation,Road transport (non-urban),B,C,C
41127,41127-013,Bihar State Highways Project (formerly Bihar State Roads Investment Program),India,Loan | Technical Assistance,Closed,2443 | 7130,9/18/08,Transportation,Road transport (non-urban),B,B,A
41155,41155-013,Electricity Transmission Expansion and Supply Improvement Project,Nepal,Grant | Loan | Technical Assistance,Closed,0270 | 0271 | 2808 | 7923,11/15/11,Energy,Electricity transmission and distribution ,B,C,B
41340,41340-013,Advanced Electricity Metering Project,Uzbekistan,Loan,Closed,2779,9/19/11,Energy,Electricity transmission and distribution,C,C,C
41403,41403-013,Urban Water Supply Project,Cambodia,Loan,Closed,3232,12/11/14,Water,Urban water supply,B,B,C
41414,41414-013,Greater Mekong Subregion Ha Noi-Lang Son and Ben Luc-Long Thanh Expressways Technical Assistance Project,Viet Nam,Loan,Closed,2460,10/23/08,Transportation,Road transport (non-urban),C,C,C
41414,41414-023,Greater Mekong Subregion Ben Luc-Long Thanh Expressway Project,Viet Nam,Loan,Closed,53,12/14/10,Transportation,,A,C,A
41414,41414-043,Greater Mekong Subregion Ben Luc-Long Thanh Expressway Project - Tranche 1,Viet Nam,Loan,Closed,2730,12/10/10,Transportation,Road transport (non-urban),A,C,A
41414,41414-063,Greater Mekong Subregion Ben Lucâ€“Long Thanh Expressway Project â€“ Tranche 2,Viet Nam,Loan,Closed,3391,5/20/16,Transportation,Urban roads and traffic management,A,C,A
41433,41433-013,Transport Connections in Northern Mountainous Provinces Project,Viet Nam,Grant | Loan,Closed,2789,9/30/11,Transportation,Road transport (non-urban),B,A,B
41456,41456-023,Water Sector Investment Program - Tranche 1,Viet Nam,Loan,Closed,2754,6/7/11,Water,Urban water supply,B,C,B
41456,41456-033,Water Sector Investment Program - Tranche 2,Viet Nam,Loan,Closed,2961,12/7/12,Water,Urban water supply,B,B,B
41456,41456-043,Water Sector Investment Program - Tranche 3,Viet Nam,Loan,Closed,3251,3/27/15,Water,Urban water supply,B,C,B
41456,41456-044,Water Sector Investment Program PFR4,Viet Nam,Loan,Closed,3373,12/16/15,Water,Urban water supply,B,C,B
41462,41462-013,"Comprehensive Socioeconomic Urban Development Project in Viet Tri, Hung Yen and Dong Dang",Viet Nam,Loan,Closed,2826,12/8/11,Transportation,Urban roads and traffic management ,B,B,A
41504,41504-013,MFF: Town Electrification Investment Program,Papua New Guinea,Grant | Loan,Closed,51,11/25/10,Energy,Renewable Energy,B,B,B
41504,41504-023,Town Electrification Investment Program - Tranche 1,Papua New Guinea,Grant | Loan,Closed,0469 | 2713 | 2714,12/6/10,Energy,Electricity transmission and distribution ,B,B,B
41504,41504-024,Improved Energy Access for Rural Communities,Papua New Guinea,Grant,Closed,0288 | 9163,4/19/12,Energy,,B,C,C
41504,41504-025,Town Electrification Investment Program - Tranche 2,Papua New Guinea,Loan,Closed,3544 | 3545,7/4/17,Energy,Electricity transmission and distribution,B,C,C
41578,41578-022,Weno Water Supply Well Remediation Project,"Micronesia, Federated States of",Grant,Closed,9122,7/17/08,Water,,B,C,C
41598,41598-023,MFF -National Capital Region Urban Infrastructure Financing Facility -Tranche 1,India,Loan,Closed,2660,8/18/10,Transportation,Multimodal logistics ,C,C,C
41603,41603-013,MFF - Bihar Urban Development Investment Program (Facility Concept),India,Loan,Closed,67,3/29/12,Water,Water Supply and Sanitation,B,C,B
41614,41614-023,Assam Power Sector Enhancement Investment Program - Tranche 1,India,Loan | Technical Assistance,Closed,2592 | 7378,11/18/09,Energy,Electricity transmission and distribution,B,B,B
41614,41614-033,MFF - Assam Power Sector Enhancement Investment Program - Tranche 2,India,Loan,Closed,2677,10/5/10,Energy,Electricity transmission and distribution,B,C,B
41614,41614-035,Assam Power Sector Enhancement Investment Program - Tranche 3,India,Loan,Closed,2800,11/4/11,Energy,Electricity transmission and distribution,B,C,B
41614,41614-036,Assam Power Sector Enhancement Investment Program - Tranche 4,India,Loan,Closed,3200,11/25/14,Energy,Electricity transmission and distribution,B,C,B
41626,41626-013,Bihar Power System Improvement Project,India,Loan,Closed,2681,10/19/10,Energy,Electricity transmission and distribution,B,C,B
41627,41627-023,MFF - Himachal Pradesh Clean Energy Development Investment Program  (Tranche 1),India,Loan,Closed,2461,10/27/08,Energy,Large hydropower generation,A,B,A
41627,41627-033,MFF - Himachal Pradesh Clean Energy Development Investment Program -Tranche 2,India,Loan,Closed,2596,12/8/09,Energy,Large hydropower generation,A,B,A
41627,41627-043,MFF - Himachal Pradesh Clean Energy Development Investment Program - Tranche 3,India,Loan,Closed,2687,10/22/10,Energy,Large hydropower generation,A,C,A
41627,41627-053,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4,India,Loan,Closed,2914,10/2/12,Energy,Large hydropower generation,A,C,A
41629,41629-013,Bihar State Highways II Project (formerly Bihar State Roads II),India,Loan | Technical Assistance,Closed,2663 | 7598,9/16/10,Transportation,Road transport (non-urban),B,C,A
41682,41682-013,Greater Mekong Subregion Highway Expansion Project,Thailand,Loan,Closed,2608,12/15/09,Transportation,Road transport (non-urban),B,C,B
41682,41682-039,Greater Mekong Subregion Highway Expansion Phase 2 Project,Thailand,Loan,Closed,3582,10/20/17,Transportation,Road transport (non-urban),B,C,B
42017,42017-013,Second Heilongjiang Road Network Development Project,China,Loan,Closed,2631,4/20/10,Transportation,Road transport (non-urban),A,B,A
42018,42018-013,Anhui Integrated Transport Sector Improvement Project,China,Loan,Closed,2600,12/10/09,Transportation,Road transport (non-urban),A,C,A
42019,42019-013,Mountain Railway Safety Enhancement Project,China,Loan,Closed,3556,8/25/17,Transportation,Rail transport (non-urban),C,C,C
42039,42039-034,Power Transmission Investment Program - Tranche 1,Viet Nam,Loan,Closed,2848,12/29/11,Energy,Electricity transmission and distribution ,B,C,A
42039,42039-035,Power Transmission Investment Program - Tranche 2,Viet Nam,Loan,Closed,2959,12/5/12,Energy,Electricity transmission and distribution ,B,B,A
42039,42039-036,Power Transmission Investment Program - Tranche 3,Viet Nam,Loan,Closed,3374,12/18/15,Energy,Electricity transmission and distribution,B,B,A
42052,42052-022,CAREC Corridor 3 (Dushanbe-Uzbekistan Border) Improvement Project,Tajikistan,Grant,Closed,245,1/18/11,Transportation,Road transport (non-urban),A,C,A
42059,42059-012,Energy Conservation and Emissions Reduction from Poor Household,Mongolia,Grant,Closed,9127,9/23/08,Energy,,C,C,C
42085,42085-013,Power Transmission Enhancement Project,Azerbaijan,Loan,Closed,2437,9/10/08,Energy,Electricity transmission and distribution,B,C,C
42094,42094-022,MFF - Energy Sector Development Investment Program - Tranche 1,Afghanistan,Grant,Closed,134,12/2/08,Energy,Electricity transmission and distribution ,B,C,B
42094,42094-032,MFF - Energy Sector Development Investment Program - Tranche 2,Afghanistan,Grant,Closed,184,12/3/09,Energy,Electricity transmission and distribution ,B,C,B
42094,42094-062,Development of Mini Hydropower Plants in Badakhshan and Bamyan Provinces,Afghanistan,Grant,Closed,9128,11/28/08,Energy,,C,C,C
42094,42094-075,Energy Sector Development Investment Program - Tranche 5,Afghanistan,Grant,Closed,377,12/4/13,Energy,Electricity transmission and distribution,B,C,B
42095,42095-012,MFF - Road Network Development Investment Program (Facility Concept),Afghanistan,Grant,Closed,25,11/28/08,Transportation,,B,C,C
42095,42095-022,MFF - Road Network Development Investment Program Tranche 1,Afghanistan,Grant,Closed,135,12/2/08,Transportation,Road transport (non-urban),B,C,C
42095,42095-032,Road Network Development Investment Program - Tranche 2,Afghanistan,Grant,Closed,0244 | 0291,12/21/10,Transportation,Road transport (non-urban),B,C,B
42107,42107-023,CAREC Corridor 2 Road Investment Program - Tranche 1,Uzbekistan,Loan,Closed,2635,4/21/10,Transportation,Road transport (non-urban),B,C,C
42107,42107-033,CAREC Corridor 2 Road Investment Program - Tranche 2,Uzbekistan,Loan,Closed,2746,3/31/11,Transportation,Road transport (non-urban),B,C,B
42107,42107-043,CAREC Corridor 2 Road Investment Program - Tranche 3,Uzbekistan,Loan,Closed,2868,6/5/12,Transportation,Road transport (non-urban),B,C,B
42117,42117-013,Tianjin Integrated Gasification Combined Cycle Power Plant Project,China,Grant | Loan,Closed,0196 | 2616,2/8/10,Energy,Conventional energy generation ,A,C,C
42145,42145-023,North-South Road Corridor Investment Program - Tranche 1,Armenia,Loan,Closed,2561,10/6/09,Transportation,Road transport (non-urban),B,C,C
42161,42161-013,Integrated Urban Development Project,Nepal,Grant | Loan,Closed,0284 | 2851,2/14/12,Transportation,Urban roads and traffic management ,B,C,B
42182,42182-013,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector Project (Formerly Renewable Energy for Remote Commune,Viet Nam,Grant | Loan | Technical Assistance,Closed,0384 | 2517 | 7262,3/30/09,Energy,Electricity transmission and distribution ,B,A,B
42189,42189-012,Nurek 500 kV Switchyard Reconstruction Project,Tajikistan,Grant,Closed,124,11/17/08,Energy,Electricity transmission and distribution,B,C,C
42252,42252-022,Rural Renewable Energy Development Project,Bhutan,Grant,Closed,228,10/29/10,Energy,Electricity transmission and distribution ,B,C,B
42254,42254-013,Northern Road Connectivity Project,Sri Lanka,Loan | Technical Assistance,Closed,2639 | 2640 | 2890 | 2891 | 7545,6/18/10,Transportation,Road transport (non-urban) ,B,C,B
42265,42265-023,Assam Urban Infrastructure Investment Program - Tranche 1,India,Loan,Closed,2806 | 3624,11/18/11,Transportation,Urban roads and traffic management ,B,C,B
42266,42266-023,Kolkata Environmental Improvement Investment Program - Tranche 1,India,Loan,Closed,3053,10/22/13,Water,Urban sewerage ,B,C,B
42266,42266-025,Kolkata Environmental Improvement Investment Program - Tranche 2,India,Loan | Technical Assistance,Closed,3413 | 9157,8/16/16,Water,Urban flood protection ,B,C,B
42266,42266-026,Kolkata Environmental Improvement Investment Program-Tranche 3,India,Loan | Technical Assistance,Closed,3689 | 9561,8/13/18,Water,Urban sanitation ,B,C,B
42334,42334-013,Rural Roads Improvement Project,Cambodia,Loan,Closed,2670,9/23/10,Transportation,Road transport (non-urban),B,B,B
42334,42334-014,Rural Roads Improvement Project II,Cambodia,Grant | Loan,Closed,0401 | 0402 | 0467 | 3151 | 8299 | 8300,8/8/14,Transportation,Road transport (non-urban),B,C,C
42358,42358-013,Greater Mekong Subregion: Cambodia Northwest  Provincial Road Improvement Project,Cambodia,Loan,Closed,2539,8/24/09,Transportation,Road transport (non-urban),B,C,A
42362,42362-013,Java-Bali 500-Kilovolt Power Transmission Crossing,Indonesia,Loan,Closed,3083 | 8276,12/3/13,Energy,Electricity transmission and distribution,A,C,A
