projectid_head,projectid1,projectid2,projectid3,projectid4,countrycode,countryname,region,countryclassification_current,countryclassification_at_approval,projectname,modality,mode_of_fin_assistance,modality_financing,funding_source,approved_amount_usd_m,disbursed_amonut_usd_m,committed_amount_usd_m,approvaldate,approvalyear,loangisnged,loaneffective_initial,loaneffective_final,closingdate_initial,closingdate_final,cofin_approval_usd_m,cofin_act_usd_m,totalcost_initial,totalcost_final,sector1,sector1a,sector2,sector2a,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
37559,37559,,,,PAK,Pakistan,Central and West Asia,B,B1,National Highway Development Sector Investment Program - Project 1,Project,MFF-Tranche (Loan),MFF - tranche,COL/OCR,183,123.68,183.0864704,12/13/05,2005,6/14/06,9/14/06,7/27/06,12/31/10,4/19/11,0,0,223.3,160.18,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
37559,37559,,,,PAK,Pakistan,Central and West Asia,B,B1,National Highway Development Sector Investment Program - Project 1,Project,MFF-Tranche (Loan),,COL,3,0.67734177,3.0864704,12/13/05,2005,6/14/06,9/14/06,7/27/06,12/31/10,3/31/11,,,,,Transportation,Road transport (non-urban),na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,nr,nr,nr
37559,37559,,,,PAK,Pakistan,Central and West Asia,B,B1,National Highway Development Sector Investment Program - Project 1,Project,MFF-Tranche (Loan),,OCR,180,123.1174386,180,2/15/06,2006,6/14/06,9/14/06,7/27/06,12/31/10,4/19/11,,,,,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,less than likely sustainable,nr,nr,nr
37596,37596,,,,PRC,China,East Asia,C,B2,Guangxi Nanning Urban Environmental Upgrading Project,Project,Project loan,,OCR,100,96.2,100,6/26/06,2006,7/6/06,10/6/06,1/10/07,6/30/11,12/16/13,0,0,262.6,421.2,Water,Urban sewerage,ANR,Forestry,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
37597,37597,,,,PRC,China,East Asia,C,B2,Wuhan Wastewater and Stormwater Management Project,Project,Project loan,Project loan,OCR,100,97.84,100,6/26/06,2006,10/24/06,1/22/07,3/5/07,6/30/11,6/30/14,0,0,266.4,513.6,Water,Urban flood protection,na,na,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
37603,37603,,,,PRC,China,East Asia,C,B2,Nanjing Qinhuai River Environmental Improvemental Project,Project,Project loan,Project loan,OCR,100,100,100,12/18/06,2006,4/16/07,7/15/07,7/11/07,6/30/12,4/10/15,0,0,236.1,240,Water,Urban sewerage,na,na,na,na,na,na,na,na,na,na
37697,37697,,,,MON,Mongolia,East Asia,B,A,Urban Development Sector Project,Project,Project loan,Project loan,COL,35.23,35.03,35.70293583,12/19/06,2006,8/27/07,11/25/07,2/26/08,6/30/13,12/18/15,2.1,0.16,37.62,41.32,Transportation,Urban roads and traffic management,WUS,Urban water supply; Urban sewerage,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
37752,37752,,,,PHI,Philippines,Southeast Asia,C,C,Power Sector Development Program,Program,Program loan,,OCR,450,450,450,12/8/06,2006,12/11/06,3/11/07,12/19/06,6/30/09,6/30/09,300,300,750,750,Energy,Energy sector development and institutional reform,na,na,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
38049,38049,,,,BHU,Bhutan,South Asia,A,A,Urban Infrastructure Development Project,Project,Project loan,Project loan,COL,24.6,23.56,24.43260967,9/27/06,2006,10/30/06,1/31/07,1/31/07,12/31/12,8/31/16,0,0,30.75,30.25,Water,"Urban policy, institutional and capacity development",TRA,Urban roads and traffic management,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
38135,38135,,,,PAK,Pakistan,Central and West Asia,B,B1,Multisector Rehabilitation&Improvement Prj for Azad Jammu&Kashmir,Project,Sector loan,,COL,57,13.37,58.86590304,12/21/04,2004,1/13/05,4/13/05,4/5/05,6/30/09,8/5/09,0,0,76,23.4,Energy,Electricity transmission and distribution,na,na,less than successful,relevant,less than effective,less than efficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
38136,38136,,,,IND,India,South Asia,B,B2,Multi-sector Project for Infrastructure Rehabilitation in Jammu and Kashmir ,Project,Project loan,Project loan,OCR,250,250,250,12/21/04,2004,3/17/05,6/15/05,5/13/05,12/31/09,4/16/14,0,0,358,371.6,Transportation,Road transport (non-urban),WUS,Urban water supply,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
38160,38160,,,,TON,Tonga,Pacific,A,B1,Integrated Urban Development Sector Project,Project,Project grant,Project grant,ADF,11.3,11.26,11.3,5/27/08,2008,7/11/08,10/9/08,8/18/08,6/30/13,2/3/15,0,0,14.21,13.36,Water,"Urban policy, institutional and capacity development",TRA,Urban roads and traffic management,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
38174,38174,,,,PRC,China,East Asia,C,B2,Southern Gansu Roads Development Project,Project,Project loan,Project loan,OCR,300,300,300,12/18/06,2006,11/13/07,2/11/08,1/18/08,9/30/15,12/28/15,0,0,1660,2275.1,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
38189,38189,,,,TIM,Timor-Leste,Southeast Asia,B,A,Dili Urban Water Supply Sector Project,Project,Project grant,Project grant,ADF,6,5.92,6,12/18/07,2007,3/5/08,6/3/08,4/25/08,5/31/11,8/25/16,0,0,7.5,7.42,Water,Urban water supply,na,na,less than successful,less than relevant,less than effective,less than efficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
38196,38196,,,,VIE,Viet Nam,Southeast Asia,C,B1,Northern Power Transmission Expansion Sector Project,Project,Project loan,Project loan,OCR,360,351.72,360,12/21/05,2005,8/22/06,11/20/06,11/24/06,12/31/10,10/23/15,0,0,452.7,447,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
38236,38236,,,,TAJ,Tajikistan,Central and West Asia,A,A,"Dushanbe-Kyrgyz Border Road Rehabilitation Project, Phase II",Project,Project loan,,COL/ADF,50,51.7,49.73342096,11/17/05,2005,2/14/06,5/15/07,3/13/06,12/31/09,8/30/13,0,0,64.5,59.93,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
38236,38236,,,,TAJ,Tajikistan,Central and West Asia,A,A,"Dushanbe-Kyrgyz Border Road Rehab'n Project, Phase II (TAJ)",Project,Project loan,,COL,29.5,31.20582675,29.23342096,11/17/05,2005,2/14/06,5/15/07,3/13/06,9/30/10,11/16/10,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
38236,38236,,,,TAJ,Tajikistan,Central and West Asia,A,A,"Dushanbe-Kyrgyz Border Road Rehabilitation Project, Phase II (Supplementary)",Project,Project grant,,ADF,20,19.99985462,20,7/24/09,2009,8/7/09,9/6/09,9/3/09,12/31/12,8/30/13,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
38254,38254,,,,IND,India,South Asia,B,B2,North Karnataka Urban Sector Investment Program-Tranche 1,Project,MFF-Tranche (Loan),MFF - tranche,OCR,33,23.42,33,1/26/07,2007,1/23/08,5/8/08,4/25/08,12/31/11,7/23/14,0,0,51.4,35.45,Water,Urban Water Supply,na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
38255,38255,,,,IND,India,South Asia,B,B2,Uttarakhand State-Road Investment Program (Project 1),Project,MFF-Tranche (Loan),MFF - tranche,OCR,50,40.35,50,1/2/07,2007,10/25/07,1/23/08,1/14/08,3/31/12,5/1/13,0,0,74,63,Transportation,Road transport (non-urban),na,na,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
38357,38357,,,,SRI,Sri Lanka,South Asia,B,B1,National Highways Sector Project,Project,Sector Loan,Sector loan,OCR,243,236.88,243,12/15/05,2005,12/14/06,3/14/07,2/20/07,12/31/16,9/11/17,0,8,313.6,340.67,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
38458,38458,,,,PAK,Pakistan,Central and West Asia,B,B1,Infrastructure Development,Project,TA loan,,COL,25,8.62,25.05523392,8/18/05,2005,9/12/05,12/12/05,2/9/06,3/31/10,6/30/10,0,0,33.67,10.77,Transportation,Road transport (non-urban),ENE,Electricity transmission and distribution,less than successful,relevant,less than effective,less than efficient,nr,less than satisfactory,less than satisfactory,less than satisfactory
38492,38492,,,,IND,India,South Asia,B,B2,Power Grid Transmission (Sector) Project,Project,Sector loan,Sector loan,OCR,400,400,400,12/21/04,2004,11/3/05,2/1/06,1/10/06,12/31/09,10/5/12,0,0,568,602.2,Energy,Electricity transmission and distribution,na,na,successful,less than relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
38618,38618,,,,TIM,Timor-Leste,Southeast Asia,B,A,Road Sector Improvement Project,Project,Project grant,,ADF,10,9.89,10,9/27/05,2005,1/20/06,4/20/06,3/3/06,6/30/08,4/29/10,0,0,12.5,12.39,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
39019,39019,,,,PRC,China,East Asia,C,B2,Inner Mongolia Autonomous Region Environment Improvement Project,Project,Project loan,Project loan,OCR,120,117.84,120,9/29/06,2006,5/16/07,8/14/07,9/24/07,12/31/11,7/21/16,0,0,330.4,340.97,Energy,Energy efficiency and conservation,na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
39038,39038,,,,PRC,China,East Asia,C,B2,Heilongjiang Road Network Development Project,Project,Project loan,,OCR,200,200.22,200,7/26/06,2006,1/19/07,4/19/07,5/7/07,9/30/11,3/1/12,0,0,524.55,538.19,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
39114,39114,,,,IND,India,South Asia,B,B2,Tsunami Emergency Assistance Project,Project,Project loan,,OCR/ATF,200,198.27,200,4/14/05,2005,5/12/05,8/10/05,6/1/05,10/31/08,2/23/10,0,0,218.6,212.4,Transportation,Road transport (non-urban),PSM,Social protection initiatives,na,na,na,na,na,na,na,na
39114,39114,,,,IND,India,South Asia,B,B2,Tsunami Emergency Assistance (Sector),Project,Project loan,,OCR,100,98.26770369,100,4/14/05,2005,5/12/05,8/10/05,6/1/05,10/31/09,2/9/10,,,,,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
39114,39114,,,,IND,India,South Asia,B,B2,Tsunami Emergency Assistance (Sector),Project,Project grant,,Asian Tsunami Fund (ATF),100,99.99999998,100,4/14/05,2005,5/12/05,8/10/05,6/1/05,10/31/08,2/23/10,,,,,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
39118,39118,,,,COO,Cook Islands,Pacific,B,B1,Cyclone Emergency Assistance Project,Project,Project loan,,COL,2.83,2.5,2.7734462,6/30/05,2005,6/30/05,9/28/05,7/14/05,10/31/07,5/13/10,1.36,0,7.87,2.5,Water,Other urban services,TRA,Road transport (non-urban),successful,relevant,effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
39127,39127,,,,INO,Indonesia,Southeast Asia,C,B2,Earthquake and Tsunami Emergency Support Project,Project,Project grant,,Asian Tsunami Fund (ATF)/Government of the Netherlands,290,290.84,290,4/7/05,2005,4/29/05,7/27/05,6/21/05,12/30/08,6/21/11,3.5,3.49,321.5,327.21,Water,Urban housing,ANR,Irrigation; Fishery,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory
39144,39144,,,,SRI,Sri Lanka,South Asia,B,B1,Tsunami-Affected Areas Rebuilding Project,Project,Project loan,,COL/Asian Tsunami Fund (ATF),157,154.6,156.84539,4/14/05,2005,4/28/05,7/28/05,7/28/05,6/30/09,4/1/11,63.2,86.4,259.3,261.7,Transportation,Road transport (non-urban),PSM,Public administration,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
39144,39144,,,,SRI,Sri Lanka,South Asia,B,B1,Tsunami-Affected Areas Rebuilding Project,Project,Project loan,,COL,7,6.27219496,6.84538997,4/14/05,2005,4/28/05,7/28/05,7/28/05,12/31/10,1/31/11,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
39144,39144,,,,SRI,Sri Lanka,South Asia,B,B1,Tsunami-Affected Areas Rebuilding Project,Project,Project grant,,Asian Tsunami Fund (ATF),150,148.3313842,150,4/14/05,2005,4/28/05,7/28/05,7/28/05,6/30/09,4/1/11,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
39149,39149,,,,PRC,China,East Asia,C,B2,Western Guangxi Roads Development Project,Project,Project loan,,OCR,300,300,300,8/14/07,2007,2/26/08,5/26/08,4/25/08,4/30/13,12/4/13,550,1298.9,1566,1998.2,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
39153,39153,,,,PRC,China,East Asia,C,B2,Railway Safety Enhancement Project,Project,Project loan,Project loan,OCR,100,99.14,100,12/12/07,2007,3/14/08,6/12/08,7/8/08,6/30/13,10/16/14,0,0,140,131.53,Transportation,Rail transport (non-urban),na,na,successful,relevant,effective,less than efficient,most likely sustainable,satisfactory,satisfactory,satisfactory
39153,39153,,,,PRC,China,East Asia,C,C,Chongqing–Lichuan Railway Development Project,Project,Project loan,Project loan,OCR,150,145.15,150,12/8/08,2008,8/26/09,11/24/09,11/23/09,6/30/15,3/3/15,0,0,3071.11,4553.66,Transportation,Rail transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
39175,39175,,,,VIE,Viet Nam,Southeast Asia,C,B1,Greater Mekong Subregion Kunming-Hai Phong Transport Corridor: Yen Vien-Lao Cai Railway Upgrading Project,Project,Project loan,Project loan,COL/Agence Francaise de Developpement,100,98.24,60.23823585,12/19/06,2006,1/16/07,4/16/07,9/25/07,12/31/12,12/21/16,77.5,81.63,161.66,154.54,Transportation,Rail transport (non-urban),na,na,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,less than satisfactory
39176,39176,,,,AZE,Azerbaijan,Central and West Asia,C,B,Road Network Development Program Tranche 2,Project,MFF-Tranche (Loan),MFF - tranche,OCR,55.4,54.5,55.4,8/22/08,2008,12/15/08,1/14/09,3/30/09,4/30/12,4/24/13,0,0,73.9,72.9,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
39228,39228,,,,PRC,China,East Asia,C,B2,Xinjiang Municipal Infrastructure and Environmental Improvement Project,Project,Project loan,Project loan,OCR,105,104.45,105,4/23/08,2008,7/23/08,10/21/08,11/17/08,12/31/13,5/12/14,0,0,190.9,162.2,Transportation,Other urban services,WUS,Energy utility services,na,na,na,na,na,na,na,na
39415,39415,,,,SRI,Sri Lanka,South Asia,B,B,Sustainable Power Sector Support Project,Project,Project loan,Project loan,COL/OCR,120,94.12,120.2498556,1/27/11,2011,6/20/11,9/19/11,11/17/11,12/31/16,1/24/18,0,0,162.03,133.34,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
39431,39431,,,,SRI,Sri Lanka,South Asia,B,B1,Colombo Port Expansion Project,Project,Project loan,Project loan,OCR,300,300,300,2/27/07,2007,4/25/07,7/24/07,5/2/08,4/30/11,7/19/13,0,0,781,920.99,Transportation,Water transport (non-urban),na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
39467,39467,,,,AFG,Afghanistan,Central and West Asia,A,A,North–South Corridor Project,Project,Project loan,,ADF/COL/JFPR,140.9,175.13,177.6882436,9/26/06,2006,11/2/06,1/31/07,1/11/07,6/30/17,11/16/17,20,20,140.9,175.13,Transportation,Road transport (non-urban),HLT,Disease control of communicable disease,na,na,na,na,na,na,na,na
39467,39467,,,,AFG,Afghanistan,Central and West Asia,A,A,North–South Corridor Project,Project,Project loan,,COL,78.2,80.263046,77.68824363,9/26/06,2006,11/2/06,1/31/07,1/11/07,6/30/17,11/16/17,,,,,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
39467,39467,,,,AFG,Afghanistan,Central and West Asia,A,A,North–South Corridor Project,Project,Project grant,,ADF,40,37.67450872,40,9/26/06,2006,11/2/06,1/31/07,1/11/07,6/30/11,8/19/13,,,,,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
39467,39467,,,,AFG,Afghanistan,Central and West Asia,A,A,Road Network Development Investment Program (Tranche 1),Project,MFF-Tranche (Grant),,ADF,60,53.6004936,60,12/2/08,2008,2/1/09,3/2/09,5/4/09,6/30/12,9/4/13,,,,,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
39467,39467,,,,AFG,Afghanistan,Central and West Asia,A,A,North–South Corridor Project,Project,Project grant,,Japan Fund for Poverty Reduction (JFPR),20,20,20,9/26/06,2006,12/17/06,,12/17/06,12/31/10,12/31/10,20,20,,,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
39581,39581,,,,SOL,Solomon Islands,Pacific,A,A,Road Improvement (Sector) Project,Project,Project grant,,ADF/Government of Australia/Government of New Zealand,0.35,0.35,0.35,8/8/06,2006,11/17/06,2/15/07,2/15/07,6/30/11,10/18/13,15.85,19.401,16.85,21.375,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
39581,39581,,,,SOL,Solomon Islands,Pacific,A,A,Solomon Islands Road Improvement (Sector) Project,Project,Project grant,,ADF,0.35,0.35,0.35,8/8/06,2006,11/17/06,2/15/07,2/15/07,6/30/11,10/18/13,,,,,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
39581,39581,,,,SOL,Solomon Islands,Pacific,A,A,Solomon Islands Road Improvement (Sector) Project,Project,Project grant,,Government of Australia,6.1,9.06363418,6.1,8/8/06,2006,11/17/06,2/15/07,2/15/07,6/30/11,10/18/13,6.1,9.06363418,,,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
39581,39581,,,,SOL,Solomon Islands,Pacific,A,A,Solomon Islands Road Improvement (Sector) Project,Project,Project grant,,Government of New Zealand,9.75,10.33727015,9.75,8/8/06,2006,11/17/06,2/15/07,2/15/07,6/30/11,10/18/13,9.75,10.33727015,,,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
39595,39595,,,,VIE,Viet Nam,Southeast Asia,C,B1,Mong Duong 1 Thermal Power Project,Project,MFF - Facility,MFF - Facility,OCR,930.71,902.15,930.71,9/21/07,2007,10/9/07,1/7/08,3/27/08,12/31/16,6/9/17,0,489.05,1187.39,1572.59,Energy,Conventional energy generation,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory
39619,39619,,,,SRI,Sri Lanka,South Asia,B,B,Eastern and North Central Provincial Road Project,Project,Project loan,Project loan,COL,71.061934,65.33,72.2323756,9/16/09,2009,10/22/09,1/20/10,11/13/09,6/30/14,8/5/16,0,0,78,73.35,Transportation,Road transport (non-urban),na,na,successful,highly relevant,highly effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
39631,39631,,,,PAK,Pakistan,Central and West Asia,B,B1,Earthquake Emergency Assistance Project,Project,Special assistance loan,,COL/Pakistan Earthquake Fund/European Commission,337.5,377.8803918,351.5713624,12/13/05,2005,12/23/05,3/23/06,2/14/06,6/30/09,9/13/13,37.5,32.28,374.2,448.3,Transportation,Road transport (non-urban),PSM,Social protection initiatives,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
39631,39631,,,,PAK,Pakistan,Central and West Asia,B,B1,Earthquake Emergency Assistance Project,Project,Project loan,,COL,220,221.9316836,234.0713624,12/13/05,2005,12/23/05,3/23/06,2/14/06,6/30/11,6/19/13,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
39631,39631,,,,PAK,Pakistan,Central and West Asia,B,B1,Earthquake Emergency Assistance Project,Project,Project grant,,Pakistan Earthquake Fund,80,123.5696024,80,12/13/05,2005,12/23/05,,2/14/06,6/30/09,9/13/13,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
39631,39631,,,,PAK,Pakistan,Central and West Asia,B,B1,Earthquake Emergency Assistance Project,Project,Project grant,,European Commission,37.5,32.37910588,37.5,12/13/05,2005,12/27/06,,4/14/07,6/30/09,12/20/11,37.5,32.37910588,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
39652,39652,,,,PRC,China,East Asia,C,B2,Gansu Heihe Rural Hydropower Development Investment Program - Project 2: Dagushan Hydropower Project,Project,MFF-Tranche (Loan),MFF - tranche,OCR,28,28,28,1/28/08,2008,3/4/08,6/1/08,6/27/08,12/31/12,3/13/12,0,0,61.92,71.99,Energy,Large hydropower generation,na,na,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory
39652,39652-013,,,,PRC,China,East Asia,C,B2,Gansu Heihe Rural Hydropower Development Investment Program - Erlongshan Hydropower Project,Project,MFF-Tranche (Loan),MFF - tranche,OCR,22,22,22,12/18/06,2006,1/19/07,4/19/07,3/16/07,6/30/10,4/1/10,0,0,49.09,57.9,Energy,Large hydropower generation,na,na,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory
39653,39653,,,,PRC,China,East Asia,C,C,Guangdong Energy Efficiency and Environment Improvement Investment Program - Tranche 3 and Multitranche Financing Facility,Project,MFF - Facility,MFF - Facility,OCR,42.94,42.94,42.94,9/5/11,2011,11/14/11,2/12/12,2/20/12,12/31/13,12/12/13,0,0,79.05,85.47,Energy,Energy efficiency and conservation,na,na,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory
39653,39653,,,,PRC,China,East Asia,C,C,Guangdong Energy Efficiency and Environment Improvement Investment Program - Tranche 2,Project,MFF-Tranche (Loan),MFF - tranche,OCR,22.06,22.06,22.06,12/16/09,2009,3/30/10,6/28/10,5/28/10,12/31/12,10/8/12,0,0,66.14,70.74,Energy,Energy sector development and institutional reform,na,na,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory
39653,39653,,,,PRC,China,East Asia,C,C,Guangdong Energy Efficiency and Environment Improvement Investment Program - Tranche 1,Project,MFF-Tranche (Loan),MFF - tranche,OCR,35,35,35,6/9/08,2008,9/29/08,12/29/08,1/9/09,12/31/11,2/3/12,0,0,50,59.27,Energy,Energy efficiency and conservation,na,na,successful,relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory
39655,39655,,,,PRC,China,East Asia,C,B2,Xinjiang Regional Road Improvement Project (Korla–Kuqa Section),Project,Project loan,,OCR,150,150,150,12/13/07,2007,5/26/08,8/24/08,8/26/08,12/31/12,4/30/14,0,0,594,569,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
39669,39669,,,,UZB,Uzbekistan,Central and West Asia,B,B2,CAREC Regional Road Project,Project,Project loan,Project loan,OCR,75.3,59.88,75.3,12/19/07,2007,4/14/08,6/13/08,5/2/08,6/30/12,1/31/13,0,0,173.4,224.9,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
39674,39674,,,,KGZ,Kyrgyz Republic,Central and West Asia,A,A,CAREC Transport Corridor 1 Bishkek–Torugart Road) Project,Project,Project grant,,ADF,20,17.54,20,11/14/08,2008,11/24/08,1/23/09,1/23/09,9/30/12,3/11/13,0,0,30.3,21.33,Transportation,Road transport (non-urban),na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
39676,39676,,,,REG,#N/A,Central and West Asia,REG,REG,CAREC Regional Road Corridor Improvement Project,Project,Project loan,,COL/ADF,102,101.84,103.5696114,10/24/07,2007,10/31/07,12/30/07,2/6/08,9/30/13,3/25/14,0,0,148,135.59,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
39676,39676,,,,KGZ,Kyrgyz Republic,Central and West Asia,A,A,CAREC Regional Road Corridor Improvement Project (Supplementary),Project,Project loan,,COL,23,22.95157844,23.95533135,9/21/10,2010,11/5/10,1/4/11,4/19/11,9/30/13,2/28/14,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
39676,39676,,,,KGZ,Kyrgyz Republic,Central and West Asia,A,A,CAREC Regional Road Corridor Improvement Project,Project,Project grant,,ADF,25.6,25.52971263,25.6,10/24/07,2007,10/31/07,12/30/07,2/6/08,9/30/13,2/28/14,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
39676,39676,,,,TAJ,Tajikistan,Central and West Asia,A,A,CAREC Regional Road Corridor Improvement Project,Project,Project loan,,COL,40.9,40.87004016,41.51428008,10/24/07,2007,11/3/07,2/2/08,12/21/07,9/30/13,12/6/13,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
39676,39676,,,,TAJ,Tajikistan,Central and West Asia,A,A,CAREC Regional Road Corridor Improvement Project,Project,Project grant,,ADF,12.5,12.45859951,12.5,10/24/07,2007,11/3/07,2/2/08,12/21/07,9/30/13,3/25/14,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
40007,40007,,,,UZB,Uzbekistan,Central and West Asia,B,B,Surkhandarya Water Supply & Sanitation Project,Project,Project loan,Project loan,COL/WFPF,31.5,31.16,28.98284896,11/3/08,2008,4/20/09,6/19/09,7/27/09,9/30/14,3/10/15,1.5,1.5,40,39.48,Water,Urban water supply,na,na,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
40031,40031,,,,IND,India,South Asia,B,B2,Rajasthan Urban Sector Development Investment Program (Tranche 1),Project,MFF-Tranche (Loan),MFF - tranche,OCR,60,50.02,60,11/8/07,2007,1/17/08,4/16/08,2/28/08,6/30/13,5/22/15,0,0,75,63.54,Water,"Urban policy, institutional and capacity development",TRA,Urban roads and traffic management,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
40037,40037,,,,PNG,Papua New Guinea,Pacific,B,B2,Lae Port Development Project,Project,Project loan,Project loan,OCR/COL/OFID/JFPR/SIDA,197.37,195.27,192.2741284,12/18/07,2007,6/12/08,9/10/08,10/30/08,12/31/14,6/30/16,8.25,7.81,197.37,195.27,Transportation,Water transport (non-urban),na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
40043,40043,,,,REG (AFG/TAJ),#N/A,Central and West Asia,REG,REG,Regional Power Transmission Interconnection Project  (AFG/TAJ),Project,Project loan,,ADF/COL/OFID,68.5,58.82,69.47789563,12/19/06,2006,2/22/07,5/23/07,8/22/07,12/31/10,3/5/14,34.6,39.4,121.9,102.9,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory (Barki Tojik); satisfactory (DABS),less than satisfactory (Barki Tojik); satisfactory (DABS),satisfactory
